Unique Index, Index, restlegth, isforbidden(bool), source vertex, target vertex
1,1,3.04,1,8,12
2,2,1.84,1,9,13
3,3,3.35812,1,12,14
4,4,1.79778,1,13,15
5,5,3.26827,1,12,13
6,6,3.04,1,8,9
7,7,4.0616,1,8,10
8,8,2.6315,1,9,11
9,9,1.81872,1,10,11
10,10,1.57175,1,11,15
11,11,1.87334,1,10,14
12,12,3.48603,1,14,15
13,13,0.8,0,0,2
14,14,0.784,0,0,1
15,15,1.90434,0,0,10
16,16,0.832869,0,0,4
17,17,0.784,0,2,3
18,18,1.04402,0,2,11
19,19,0.482958,0,2,6
20,20,0.8,0,1,3
21,21,1.87294,0,1,8
22,22,0.832869,0,1,5
23,23,1.87294,0,3,9
24,24,0.58506,0,3,7
25,25,1.66407,0,7,13
26,26,2.02131,0,5,12
27,27,1.43626,0,4,14
28,28,0.784,0,4,5
29,29,0.790832,0,6,7
30,30,1.10841,0,4,6
31,31,1.07257,0,5,7
32,32,1.27247,0,6,15
33,33,1.41994,0,16,17
34,25,0.832036,0,7,16
35,25,0.832036,0,13,16
36,17,0.392,0,2,17
37,17,0.392,0,3,17
38,38,0.588491,0,18,19
39,18,0.522011,0,2,18
40,18,0.522011,0,11,18
41,7,2.5414,1,8,19
42,7,1.52021,1,10,19
43,43,1.04878,0,20,21
44,33,0.709972,0,16,20
45,33,0.709972,0,17,20
46,10,1.15626,1,11,21
47,10,0.415495,1,15,21
48,48,0.590483,0,22,23
49,30,0.554206,0,4,22
50,30,0.554206,0,6,22
51,14,0.392,0,0,23
52,14,0.392,0,1,23
53,53,0.9312,0,24,25
54,15,0.952172,0,0,24
55,15,0.952172,0,10,24
56,9,0.696125,1,10,25
57,9,1.1226,1,11,25
58,58,1.34086,0,26,27
59,22,0.416434,0,1,26
60,22,0.416434,0,5,26
61,26,1.01066,0,5,27
62,26,1.01066,0,12,27
63,63,1.49298,0,28,29
64,31,0.651024,0,5,28
65,31,0.421549,0,7,28
66,5,1.58613,1,12,29
67,5,1.68214,1,13,29
