index, isfixed(bool), pos.x,pos.y,pos.z
0,0,0.5,2.49,0.786
1,0,0.5,1.51,0.786
2,0,-0.5,2.49,0.786
3,0,-0.5,1.51,0.786
4,0,0.768,2.49,-0.22
5,0,0.768,1.51,-0.22
6,0,-0.557,2.49,0.185
7,0,-0.544,1.51,0.056
8,1,1.9,0,1.9
9,1,-1.9,0,1.9
10,1,0.502,4.832,1.212
11,1,-0.8,3.1,1.9
12,1,1.9,0,-1.9
13,1,-1.9,0,-0.4
14,1,1.621,4.004,-0.671
15,1,-1.9,1.9,0.8
16,0,-1.19306,0.592042,-0.0921142
17,0,-0.419933,1.77157,0.985547
18,0,-0.605793,2.67411,1.4713
19,1,-1,3,2
20,0,-0.827885,1.1929,0.445405
21,1,-2,1,1
22,0,0.118731,2.27786,0.222982
23,0,0.484336,2.03414,0.816048
24,0,0.449882,3.71737,1.0139
25,1,1,4,2
26,0,0.660765,1.44096,0.298393
27,0,1.32411,0.714991,-1.05888
28,0,0.0594474,1.31902,0.0735259
29,1,1,0,1
30,0,-0.401789,1.22827,0.598569
31,1,-1,0,1
32,0,1.17409,3.25544,-0.370748
33,1,2,3,-1
34,0,0.442761,3.15639,0.947405
35,0,-0.452547,1.46204,0.922576
36,0,-0.72865,1.44604,0.70999
37,1,-2,1,1
38,0,0.420634,2.28966,0.78015
39,1,1,2,2
40,0,0.755508,3.86637,1.56297
41,1,1,4,2
42,0,0.303166,2.11925,0.525691
43,0,-0.448831,1.62176,0.400748
44,0,0.88982,1.17805,-0.127571
45,1,2,1,-1
46,0,-1.25354,1.12252,0.647105
47,1,-2,1,1
48,0,0.600866,2.48242,0.224967
49,1,2,2,1
50,0,0.726396,1.97648,-0.126757
51,1,2,2,-1
52,0,-1.1067,0.888205,0.2472
53,0,-1.7,0.181606,-0.289474
54,0,0.504232,4.27348,1.1772
55,1,1,5,1
56,0,1.62913,3.09045,-0.7172
57,0,0.993478,0.930155,1.16652
58,0,-0.542738,2.44674,1.27542
59,1,-1,2,2
60,0,0.433694,2.35395,0.117967
61,0,-0.111906,1.14752,0.257338
62,0,-0.483388,1.97504,0.968236
63,1,-1,2,2
64,0,0.997438,2.82495,-0.235189
65,1,2,3,-1
66,0,0.513735,1.50765,0.77812
67,1,1,2,2
68,0,-0.19437,2.12977,0.422485
69,1,-1,2,2
70,0,0.368534,2.76096,0.908335
71,1,1,3,2
72,0,-0.769831,0.908549,0.157381
73,1,-1,0,1
74,0,-1.39351,0.413139,1.58509
75,0,-1.2134,1.96344,0.679085
76,0,1.45608,3.60958,-0.557189
77,1,2,4,-1
78,0,-1.45603,1.21411,0.898335
79,1,-2,1,1
80,0,-0.435654,1.13826,0.813092
81,0,-0.875684,0.25,0.920003
82,0,-0.843397,2.8341,1.77545
83,0,-0.743397,2.8841,1.72545
84,0,0.777015,1.36795,-0.000180617
85,0,-0.0744799,2.1596,0.463298
86,0,-0.997442,1.28589,0.676577
87,1,-2,1,1
88,0,0.440849,2.3205,0.899077
89,1,1,2,2
90,0,0.646408,3.77246,1.38834
91,1,1,4,2
92,0,0.652013,1.33773,-0.115351
93,1,1,0,-1
94,0,1.07836,1.06019,-0.63461
95,0,0.474913,2.05986,0.887424
96,0,-0.489765,2.09343,0.850229
97,0,-0.644124,2.50884,1.45755
98,0,-0.0159724,2.3253,0.985398
99,0,0.000108093,2.3162,1.00103
100,0,0.923457,1.24343,0.0174146
101,1,2,1,1
102,0,0.190424,2.09454,0.454253
103,0,-0.0632675,1.81322,0.504155
104,0,0.354381,1.96231,0.696153
105,0,0.0709231,1.31837,0.871686
106,0,-0.37139,1.41011,0.949767
107,1,-1,1,2
108,0,0.834739,0.25,0.82418
109,1,1,0,1
110,0,0.75905,2.07172,1.47528
111,0,0.450423,2.60104,0.987828
112,0,0.894271,3.93636,1.81516
113,1,1,4,2
114,0,1.55372,1.07952,-0.600741
115,0,1.51535,1.10983,0.554998
116,0,1.63058,0.350808,-1.46287
117,0,0.634168,2.11821,1.19608
118,0,0.629724,2.40018,0.638959
119,1,1,2,2
120,0,1.40667,2.18768,0.679886
121,1,2,2,1
122,0,0.882954,2.14697,-0.123511
123,1,2,2,-1
124,0,-1.75,1.05559,0.888085
125,0,-1.75,1.05559,0.888085
126,0,1.36976,0.820713,-0.681502
127,1,2,1,-1
128,0,0.768521,1.32421,0.687922
129,1,2,1,1
130,0,-0.322178,1.28881,0.501701
131,0,-0.395805,1.11598,1.00484
132,0,-0.734837,1.56633,1.03087
133,0,-1.19712,0.676896,0.222376
134,0,0.528002,3.33416,1.21708
135,0,0.885545,2.11822,1.39915
136,0,-0.352781,1.04998,0.587703
137,0,-0.148901,1.10907,0.37267
138,0,0.826437,4.64652,1.09196
139,1,1,5,1
140,0,1.53056,1.88475,0.239478
141,1,2,2,1
142,0,0.948953,1.55204,-0.140801
143,1,2,2,-1
144,0,0.575469,4.56033,1.19918
145,0,1.63215,2.82737,-0.631378
146,0,0.922329,2.25559,0.223308
147,0,0.624371,3.97733,1.22035
148,0,0.994982,1.16585,0.995298
149,1,1,1,2
150,0,1.88948,2.88005,-0.799802
151,0,1.67867,2.33219,-0.14731
152,0,-1.25268,1.12605,0.665497
153,1,-2,1,1
154,0,1.62329,2.91702,-0.528375
155,1,2,3,-1
156,0,1.53404,1.90251,-0.595919
157,1,2,2,-1
158,0,0.319404,1.61688,0.269742
159,0,0.445629,2.04453,0.335871
160,0,1.45012,0.743427,1.30383
161,0,1.80011,1.95631,0.667081
162,0,-0.785307,2.14078,1.69806
163,1,-1,2,2
164,0,0.79597,2.19094,0.128364
165,0,-0.45734,2.05577,1.10812
166,0,-1.37851,0.410876,-0.0127599
167,1,-2,0,0
168,0,0.85327,1.73045,1.4928
169,0,-0.731434,2.71782,1.66182
170,0,-1.46622,0.508184,0.0643851
171,0,-1.77967,0.102909,-0.304017
172,0,1.35842,2.87616,-0.347144
173,1,2,3,-1
174,0,-1.23004,0.948768,0.484355
175,1,-2,1,1
176,0,-0.585387,1.73675,1.12088
177,0,-0.103141,1.23897,1.0337
178,0,-0.581538,1.96261,1.37487
179,0,1.10654,2.49131,-0.0924871
180,0,-0.481772,2.17708,1.29752
181,0,0.501616,2.77262,1.16841
182,0,-0.864894,0.382156,0.674913
183,1,-1,0,1
184,0,-0.529137,0.913362,0.389122
185,0,-1.13277,0.668561,0.229495
186,0,0.643086,1.60076,0.912884
187,1,1,2,2
188,0,0.891096,3.95621,1.81406
189,1,1,4,2
190,0,0.763992,2.80307,1.57563
191,0,0.711731,1.38903,0.958567
192,0,-0.888361,0.83937,1.33335
193,0,-0.763973,2.96163,1.82242
194,0,-0.449603,1.9675,1.17754
195,0,-0.38649,1.16295,1.03231
196,0,-0.84398,1.80215,0.829896
197,1,-2,2,1
198,0,-0.520321,1.55097,1.08973
199,0,-0.5352,1.77754,1.14853
200,0,-1.55838,1.82664,0.831794
201,1,-2,2,1
202,0,1.6182,3.78535,-0.649516
203,0,0.270727,2.26895,0.662315
204,0,-0.764169,1.92326,1.59244
205,1,-1,2,2
206,0,-1.24634,1.2701,0.907175
207,1,-2,1,1
208,0,-1.76183,1.09339,0.970608
209,0,-1.76183,1.09339,0.970608
210,0,-0.637428,0.656473,0.94275
211,1,-1,0,1
212,0,-1.7,0.199875,1.77628
213,1,-2,0,2
214,0,-0.416932,1.67287,0.703379
215,0,-0.662114,2.72015,1.69885
216,0,-0.922998,0.138564,0.984013
217,0,-1.09443,1.79723,0.858041
218,0,1.56993,3.32952,-0.568908
219,1,2,3,-1
220,0,-0.907712,2.89966,1.88957
221,1,-1,3,2
222,0,-1.3273,1.13422,1.23287
223,0,-1.42901,1.80052,0.865981
224,0,-0.620097,0.644862,0.857264
225,0,-0.359809,1.02892,0.668003
226,0,-0.419741,1.0156,0.835261
227,1,-1,0,1
228,0,-0.332189,1.8914,0.74082
229,0,0.463064,1.3283,0.972451
230,0,0.759583,1.43086,0.205866
231,0,-0.0379055,1.90458,0.623799
232,0,-1.33216,1.17193,0.83544
233,0,-1.32316,1.07442,0.69711
234,0,-0.761184,2.76694,1.74232
235,1,-1,3,2
236,0,-0.973588,0.657492,0.270878
237,0,-1.5628,0.282081,-0.0776656
238,0,0.158478,1.93499,0.511596
239,0,-0.476387,1.80597,0.798969
240,0,-1.21324,1.14569,0.731356
241,0,-1.0939,1.27407,0.840527
242,0,0.691792,3.64351,1.36869
243,0,0.765833,3.81051,1.56233
244,0,0.918157,1.32477,0.272875
245,0,1.55608,2.05122,-0.566307
246,0,0.178503,1.09932,0.251943
247,1,1,0,1
248,0,0.645671,2.02021,0.980278
249,0,-0.486828,1.95737,0.907947
250,0,0.846994,1.22674,-0.134494
251,0,0.267692,1.06321,0.235414
252,0,0.806695,2.04653,1.51327
253,1,1,2,2
254,0,1.06488,1.19273,-0.282724
255,0,1.21081,1.17659,0.0826506
256,0,0.939559,1.43237,0.194596
257,0,1.34559,0.859685,-0.686256
258,0,0.673792,1.88717,0.884034
259,0,0.568187,2.16108,1.03415
260,0,-0.744893,2.66554,1.67636
261,1,-1,3,2
262,0,0.872695,3.86049,1.74603
263,0,-0.568588,2.34067,1.4419
264,0,0.561254,1.07452,0.0105373
265,0,0.149272,1.0499,0.333476
266,0,0.292214,2.20435,1.08113
267,0,0.355263,1.06221,0.172007
268,0,-0.637746,2.47966,1.52465
269,0,-0.378307,1.98534,1.16851
270,0,0.255081,2.53661,1.1644
271,1,1,3,2
272,0,1.81234,3.77309,-0.819597
273,0,1.56758,3.63813,-0.594738
274,0,-0.506012,2.22939,1.2387
275,0,-0.535516,2.42019,1.46464
276,0,0.646404,1.7918,0.862783
277,0,-0.549485,1.7008,1.12889
278,0,0.812096,0.861534,-0.327692
279,0,1.5675,0.555853,-1.09812
280,0,0.0990903,1.79103,0.594745
281,0,0.143224,1.75314,0.648866
282,0,0.234802,1.9106,0.528071
283,0,0.276953,1.8315,0.647843
284,0,0.0740436,2.17788,1.12253
285,0,-0.367468,2.04659,1.18337
286,0,0.894609,1.3854,0.0115755
287,0,0.617835,2.0192,0.954578
288,0,0.298733,1.5542,0.90294
289,0,0.232514,1.77449,0.674897
290,0,1.07519,1.26726,0.293688
291,1,2,1,1
292,0,-0.12234,2.12623,1.14049
293,0,0.664211,1.85236,0.85272
294,0,-0.406305,1.32305,1.13947
295,1,-1,1,2
296,0,-0.170677,1.8565,1.14105
297,1,-1,2,2
298,0,0.396622,1.78303,0.75386
299,0,0.258409,1.87073,0.588246
300,0,0.928969,0.108543,0.918969
301,1,1,0,1
302,0,0.773319,0.358926,0.728596
303,0,-0.546579,0.928635,0.396609
304,0,-0.426073,1.44895,1.16063
305,1,-1,1,2
306,0,0.535903,2.29399,1.07266
307,0,0.797259,3.12472,0.706532
308,0,0.96086,1.95009,1.67231
309,0,1.23313,1.18915,0.0140259
310,0,0.729842,2.13681,1.23028
311,0,0.942711,1.92024,1.49685
312,0,-0.72147,1.18538,1.5952
313,1,-1,1,2
314,0,0.95105,3.97556,1.91467
315,0,0.849321,3.9188,1.73429
316,0,0.92434,0.113306,0.915475
317,1,1,0,1
318,0,1.69057,1.06975,0.00429344
319,1,2,1,1
320,0,0.52931,1.7677,0.861602
321,0,0.638069,1.94033,0.880858
322,0,1.3914,1.12401,-0.156593
323,1,2,1,-1
324,0,-0.196469,1.61837,0.645605
325,0,0.00429364,1.32358,1.03074
326,0,1.8588,1.02935,-0.75
327,1,2,1,-1
328,0,0.524953,2.46656,1.1516
329,0,0.639639,2.25813,1.18368
330,0,0.775251,1.86401,0.981972
331,0,0.611302,1.82932,0.844616
332,0,0.851909,3.91126,1.73532
333,1,1,4,2
334,0,0.648507,2.25047,0.917226
335,0,0.662295,2.70428,0.896476
336,0,0.95118,3.97503,1.91463
337,1,1,4,2
338,0,1.33837,1.17002,0.303586
339,1,2,1,1
340,0,1.75,2.07076,0.872972
341,1,2,2,1
342,0,0.870879,1.84101,1.15452
343,0,0.82684,2.01977,1.29175
344,0,1.86169,0.968097,0.74404
345,0,1.99353,1.00536,0.75
346,0,1.73075,2.07725,0.86665
347,1,2,2,1
348,0,1.02554,2.2185,0.0274947
349,0,1.36553,2.81564,-0.327067
350,0,-1.62357,1.08665,0.83166
351,0,-1.62135,1.09234,0.830941
352,0,0.822135,2.32413,0.660691
353,1,2,2,1
354,0,-1.87227,1.02002,0.942385
355,1,-2,1,1
356,0,1.77979,0.183656,-1.58871
357,0,1.75261,0.936952,-0.858071
358,0,1.4704,1.03637,-0.3572
359,0,1.7747,1.06804,-0.616641
360,0,1.24378,1.27949,0.841922
361,1,2,1,1
362,0,-1.87186,1.01569,0.941966
363,1,-2,1,1
364,0,-0.396768,1.18137,0.878764
365,0,-0.392028,1.7669,0.877086
366,0,1.43947,0.793999,-0.737234
367,0,1.17981,1.18997,-0.282794
368,0,0.886881,1.39861,0.880539
369,0,0.60421,1.72993,1.02841
370,0,1.04343,1.37368,0.643724
371,1,2,1,1
372,0,-0.987106,1.08142,0.694431
373,0,-0.853488,0.725098,0.371764
374,0,1.13551,2.00289,-0.117146
375,0,1.33829,2.03683,-0.283767
376,0,-0.292317,1.14556,0.619825
377,1,-1,0,1
378,0,1.17378,2.24857,0.620437
379,1,2,2,1
380,0,-0.93249,1.37354,0.978984
381,0,-1.37003,0.821012,0.479018
382,0,-0.734254,1.49314,1.06009
383,0,-1.21022,1.25475,0.941711
384,0,0.737894,2.72337,1.35085
385,1,1,3,2
386,0,-1.26673,0.730962,0.378633
387,0,-1.42848,0.65114,0.287025
388,0,-0.3272,1.37871,0.740065
389,1,-1,1,2
390,0,-0.200075,0.998353,0.598916
391,0,0.0270687,2.10959,1.17754
392,0,0.562396,3.05558,1.26962
393,0,0.0963161,2.47922,1.30793
394,0,0.83355,2.26248,1.13107
395,1,1,2,2
396,0,-0.507604,0.997874,1.02232
397,0,-0.438523,1.16481,0.977294
398,0,0.936664,2.11468,1.71769
399,0,0.917774,2.12967,1.57075
400,0,0.807296,4.43149,1.05997
401,0,0.677309,2.76019,1.68823
