Unique Index, Index, restlegth, isforbidden(bool), source vertex, target vertex
1,1,30.4,1,8,12
2,2,18.4,1,9,13
3,3,33.5812,1,12,14
4,4,17.9778,1,13,15
5,5,32.6827,1,12,13
6,6,30.4,1,8,9
7,7,40.616,1,8,10
8,8,26.315,1,9,11
9,9,18.1872,1,10,11
10,10,15.7175,1,11,15
11,11,18.7334,1,10,14
12,12,34.8603,1,14,15
13,13,8,0,0,2
14,14,7.84,0,0,1
15,15,19.0434,0,0,10
16,16,8.32869,0,0,4
17,17,7.84,0,2,3
18,18,10.4402,0,2,11
19,19,4.82958,0,2,6
20,20,8,0,1,3
21,21,18.7294,0,1,8
22,22,8.32869,0,1,5
23,23,18.7294,0,3,9
24,24,5.8506,0,3,7
25,25,16.6407,0,7,13
26,26,20.2131,0,5,12
27,27,14.3626,0,4,14
28,28,7.84,0,4,5
29,29,7.90831,0,6,7
30,30,11.0841,0,4,6
31,31,10.7257,0,5,7
32,32,12.7247,0,6,15
33,33,8.57379,0,16,17
34,25,4.53215,0,7,16
35,25,12.1086,0,13,16
36,31,5.36287,0,5,17
37,31,5.36286,0,7,17
38,38,11.3622,0,18,19
39,5,23.9854,1,12,18
40,5,8.69727,1,13,18
41,29,6.23224,0,6,19
42,29,1.67608,0,7,19
43,43,3.85785,0,20,21
44,8,7.61032,1,9,20
45,8,18.7047,1,11,20
46,23,9.3647,0,3,21
47,23,9.3647,0,9,21
48,48,3.41555,0,22,23
49,9,3.87436,1,10,22
50,9,14.3129,1,11,22
51,15,14.3201,0,0,23
52,15,4.72335,0,10,23
53,53,8.64537,0,24,25
54,9,5.8014,1,11,24
55,9,8.51147,1,22,24
56,20,4,0,1,25
57,20,4,0,3,25
58,58,11.6715,0,26,27
59,31,2.68143,0,5,26
60,31,2.68143,0,17,26
61,26,10.1066,0,5,27
62,26,10.1066,0,12,27
63,63,7.45493,0,28,29
64,7,33.1748,1,8,28
65,7,7.44123,1,10,28
66,15,7.16004,0,0,29
67,15,7.16004,0,23,29
