index, isfixed(bool), pos.x,pos.y,pos.z
0,0,5,24.9,7.86
1,0,5,15.1,7.86
2,0,-5,24.9,7.86
3,0,-5,15.1,7.86
4,0,7.68,24.9,-2.2
5,0,7.68,15.1,-2.2
6,0,-5.57,24.9,1.85
7,0,-5.44,15.1,0.56
8,1,19,0,19
9,1,-19,0,19
10,1,5.02,48.32,12.12
11,1,-8,31,19
12,1,19,0,-19
13,1,-19,0,-4
14,1,16.21,40.04,-6.71
15,1,-19,19,8
16,0,-8.82231,8.8224,0.321803
17,0,0.940629,13.2107,-0.213746
18,1,-19,15,4
19,0,-4.8533,14.21,3.01806
20,1,-12,7,19
21,0,-11.7023,6.58351,14.2049
22,1,6,44,15
23,0,4.76,42.7629,11.1064
24,1,4,15,19
25,0,0.892155,14.2208,8.67918
26,0,3.83287,13.479,-1.38421
27,0,13.1182,7.13777,-10.6805
28,1,7,40,16
29,0,4.49665,33.5443,9.76348
30,1,12,7,19
31,0,12.4439,7.72877,13.3917
32,1,4,15,19
33,0,2.61149,14.6527,14.3502
34,0,6.74125,15.0041,3.13441
35,0,1.05879,23.013,2.20214
36,0,15.7136,3.85381,16.2879
37,0,5.80085,36.882,13.0097
38,1,19,7,-12
39,0,14.8808,4.7729,-13.3494
40,0,-11.9209,19.9421,6.59304
41,0,-5.80713,17.6825,4.23611
42,1,12,15,19
43,0,9.20774,11.5359,10.914
44,0,-12.9025,14.7225,3.64189
45,0,11.6292,32.6422,-3.74002
46,0,4.37134,29.2743,9.00947
47,0,10.8483,20.3449,14.7617
48,0,-0.642742,23.6959,-0.053333
49,0,-6.40835,16.0917,3.80441
50,1,4,15,19
51,0,7.62534,13.5761,9.71597
52,0,12.9805,13.205,15.4398
53,0,4.99728,20.0887,8.04539
54,1,-12,7,19
55,0,-13.7535,4.83589,16.102
56,1,-19,15,4
57,0,-5.40848,19.4126,4.85353
58,0,5.63058,14.1346,-1.93118
59,0,5.46075,24.7123,3.65796
60,0,5.54567,19.4235,0.863389
61,0,2.11701,12.706,-1.17617
62,0,5.56307,16.8259,-0.498906
63,0,6.99103,19.9881,-1.26564
64,1,19,0,19
65,0,17.9418,1.63668,18.2204
66,0,13.3932,36.035,-5.09693
67,0,7.0618,17.613,-1.5993
68,0,1.10767,12.6442,-0.754858
69,0,3.82218,16.0923,-0.138044
70,0,10.2313,26.8183,-3.35189
71,0,13.8112,6.73777,15.2525
72,1,16,40,-7
73,0,12.8246,34.3104,-4.74933
74,1,4,15,19
75,0,5.56738,17.6051,8.35334
76,1,12,15,19
77,0,10.7172,13.4818,15.426
78,0,3.23864,13.0206,-1.52312
79,0,6.70629,15.4424,0.56379
80,1,-4,23,19
81,0,-0.0190682,23.6114,9.37639
82,1,12,15,19
83,0,8.31224,12.89,11.2627
84,1,-19,15,4
85,0,-15.3157,19.3529,7.22606
86,0,-6.05101,26.8496,14.8844
87,0,-4.38201,21.7867,8.09441
88,1,19,0,19
89,0,18.75,0.391045,18.8168
90,0,2.44001,14.4047,-0.415845
91,0,-2.83863,12.3637,1.29664
92,1,19,0,19
93,0,18.4268,0.900323,18.5802
94,0,1.95015,24.0358,8.99807
95,0,-6.9459,28.7228,16.7059
96,1,-19,15,4
97,0,-8.11467,18.5738,2.13071
98,1,5,48,12
99,0,5.03242,45.3166,11.9959
100,0,11.2492,17.4372,14.4806
101,0,17.6489,2.1503,18.0064
102,0,12.345,16.9595,5.99485
103,0,10.7308,9.92166,13.2854
104,1,19,23,-4
105,0,7.09651,19.02,-1.45243
106,0,4.45545,27.2875,-1.50477
107,0,14.6936,37.7799,-5.85227
108,0,-7.06625,10.4119,1.46477
109,0,-4.43707,10.416,-0.164794
110,0,5.8197,34.7068,12.2231
111,0,7.52935,25.0829,11.8743
112,0,16.3331,4.47801,17.012
113,0,13.8876,6.51306,-11.4353
114,0,-4.13288,18.1006,10.1727
115,0,-1.39072,12.97,0.860507
116,1,4,23,19
117,0,4.85762,22.1706,8.51898
118,1,-4,23,19
119,0,-2.16457,23.2882,14.6962
120,0,6.24515,15.5002,1.89185
121,0,0.597329,23.9653,9.92547
122,0,-13.0026,17.1683,4.46742
123,0,-6.17411,27.4777,15.3248
124,1,-19,15,4
125,0,-15.9603,16.146,4.29885
126,0,13.1576,12.391,10.1777
127,0,11.5587,21.3061,2.19328
128,0,-1.57806,14.0724,9.83563
129,0,4.44206,23.3776,8.53172
130,0,3.76628,23.3411,1.04405
131,0,11.4363,33.3384,-4.0782
132,0,-5.75919,10.409,0.648658
133,0,-8.12745,9.08953,0.464096
134,0,-4.08711,20.0911,10.2566
135,0,-16.3186,2.51717,17.8127
136,1,-4,7,19
137,0,-7.57187,10.5494,12.2255
138,1,16,40,-7
139,0,15.175,38.6455,-6.16956
140,0,2.52028,22.8874,1.74596
141,0,3.53063,18.9454,3.04265
142,0,2.8206,15.184,-0.143932
143,0,-2.70492,15.5763,5.49737
144,0,4.40895,22.5749,14.1135
145,0,16.3824,4.34293,15.7818
146,0,13.5983,10.4484,11.9467
147,0,14.5466,36.9509,-5.84495
148,0,14.061,23.3808,3.26492
149,0,11.3053,23.4824,0.313691
150,1,-12,7,19
151,0,-12.7535,6.08107,17.7934
152,0,-5.70489,8.70254,15.7541
153,0,5.03533,37.9595,11.2569
154,1,-19,15,4
155,0,-5.94574,13.5408,3.13868
156,1,-19,15,4
157,0,-12.4729,14.2704,3.56934
158,1,19,23,-4
159,0,13.63,21.2135,-2.84731
160,0,9.37538,32.4237,-3.62957
161,0,1.8586,25.4421,-0.714334
162,0,-17.2734,18.8875,7.36301
