Unique Index, Index, restlegth, isforbidden(bool), source vertex, target vertex
1,1,13.7851,0,0,8
2,2,11.9102,0,1,8
3,3,14.9632,0,2,8
4,4,14.0035,0,3,8
5,5,12.083,0,4,8
6,6,12.3864,0,5,8
7,7,13.2785,0,6,8
8,8,10.1123,0,7,8
9,9,22.8215,1,0,2
10,10,19.3135,1,0,6
11,11,17.5514,1,2,6
12,12,17.617,1,0,5
13,13,9.71841,1,5,6
14,14,22.1109,1,0,1
15,15,11.8307,1,1,5
16,16,18.1598,1,1,6
17,17,13.1365,1,1,7
18,18,17.0098,1,6,7
19,19,17.6044,1,1,3
20,20,18.4292,1,3,7
21,21,7.49567,1,3,4
22,22,16.1266,1,4,7
23,23,17.9407,1,2,4
24,24,14.0431,1,2,7
25,25,16.5661,1,0,4
26,26,17.8184,1,0,3
27,27,6.58195,0,9,10
28,1,6.89257,0,0,9
29,1,6.89257,0,8,9
30,25,3.36252,1,0,10
31,25,13.2036,1,4,10
32,32,7.86931,0,11,12
33,3,7.48161,0,2,11
34,3,7.48161,0,8,11
35,24,2.57588,1,2,12
36,24,11.4672,1,7,12
37,37,5.08371,0,13,14
38,6,7.11551,0,5,13
39,6,5.27094,0,8,13
40,13,3.3288,1,5,14
41,13,6.38961,1,6,14
42,42,8.04985,0,15,16
43,8,5.05616,0,7,15
44,8,5.05616,0,8,15
45,24,2.88899,1,7,16
46,24,8.5782,1,12,16
47,47,12.2937,0,17,18
48,5,6.04152,0,4,17
49,5,6.04152,0,8,17
50,25,7.57717,1,4,18
51,25,5.62642,1,10,18
52,52,7.15943,0,19,20
53,8,2.52808,0,7,19
54,8,2.52808,0,15,19
55,24,2.88899,1,7,20
56,24,0,1,16,20
57,57,5.75634,0,21,22
58,1,3.44629,0,8,21
59,1,3.44629,0,9,21
60,3,3.7408,0,8,22
61,3,3.7408,0,11,22
62,62,7.05141,0,23,24
63,8,1.26404,0,7,23
64,8,1.26404,0,19,23
65,20,12.8494,1,3,24
66,20,5.57977,1,7,24
67,67,4.38316,0,25,26
68,5,3.02076,0,8,25
69,5,3.02076,0,17,25
70,8,2.52808,0,8,26
71,8,2.52808,0,15,26
72,72,10.9768,0,27,28
73,4,7.00174,0,3,27
74,4,7.00174,0,8,27
75,21,3.52381,1,3,28
76,21,3.97186,1,4,28
77,77,7.33838,0,29,30
78,67,2.19158,0,25,29
79,67,2.19158,0,26,29
80,8,0.63202,0,19,30
81,8,0.632021,0,23,30
82,82,2.86384,0,31,32
83,6,3.55775,0,5,31
84,6,3.55775,0,13,31
85,15,8.36258,1,1,32
86,15,3.46809,1,5,32
87,87,17.3121,0,33,34
88,3,3.7408,0,2,33
89,3,3.7408,0,11,33
90,1,3.44629,0,0,34
91,1,3.44629,0,9,34
92,92,6.88051,0,35,36
93,8,0.632021,0,7,35
94,8,0.632021,0,23,35
95,17,6.42062,1,1,36
96,17,6.71591,1,7,36
97,97,3.5945,0,37,38
98,32,3.93466,0,11,37
99,32,3.93466,0,12,37
100,24,2.57588,1,2,38
101,24,0,1,12,38
102,102,10.9004,0,39,40
103,5,1.51038,0,8,39
104,5,1.51038,0,25,39
105,25,2.68592,1,10,40
106,25,2.94049,1,18,40
107,107,10.1651,0,41,42
108,3,1.8704,0,8,41
109,3,1.8704,0,22,41
110,23,8.66814,1,2,42
111,23,9.27253,1,4,42
112,112,5.68607,0,43,44
113,8,1.26404,0,15,43
114,8,1.26404,0,26,43
115,2,5.95508,0,1,44
116,2,5.95508,0,8,44
117,117,9.99312,0,45,46
118,1,1.72314,0,8,45
119,1,1.72314,0,21,45
120,14,14.2081,1,0,46
121,14,7.90285,1,1,46
122,122,5.61152,0,47,48
123,7,6.63923,0,6,47
124,7,6.63923,0,8,47
125,18,1.71696,1,6,48
126,18,15.2928,1,7,48
127,127,3.09167,0,49,50
128,6,1.77888,0,5,49
129,6,1.77888,0,31,49
130,15,3.46809,1,5,50
131,15,0,1,32,50
132,132,11.708,0,51,52
133,4,3.50087,0,8,51
134,4,3.50087,0,27,51
135,21,1.75788,1,4,52
136,21,2.21398,1,28,52
137,137,7.92381,0,53,54
138,77,3.66919,0,29,53
139,77,3.66919,0,30,53
140,22,11.4107,1,4,54
141,22,4.71591,1,7,54
142,142,17.1644,0,55,56
143,42,4.02493,0,15,55
144,42,4.02492,0,16,55
145,32,1.96733,0,12,56
146,32,1.96733,0,37,56
147,147,3.02191,0,57,58
148,62,3.52571,0,23,57
149,62,3.52571,0,24,57
150,20,5.57977,1,7,58
151,20,0,1,24,58
152,152,11.5428,0,59,60
153,5,3.02076,0,4,59
154,5,3.02076,0,17,59
155,22,4.19297,1,4,60
156,22,7.21775,1,54,60
157,157,3.67326,0,61,62
158,1,0.204533,0,0,61
159,1,3.24175,0,34,61
160,10,3.29809,1,0,62
161,10,16.0154,1,6,62
162,162,2.77237,0,63,64
163,52,3.57972,0,19,63
164,52,3.57972,0,20,63
165,42,2.01246,0,15,64
166,42,2.01246,0,55,64
167,167,6.42667,0,65,66
168,6,2.63547,0,8,65
169,6,2.63547,0,13,65
170,15,8.36258,1,1,66
171,15,0,1,32,66
172,172,5.30456,0,67,68
173,47,6.14685,0,17,67
174,47,6.14685,0,18,67
175,25,0,1,18,68
176,25,2.94049,1,40,68
177,177,4.78491,0,69,70
178,72,5.48841,0,27,69
179,72,5.48841,0,28,69
180,21,3.52381,1,3,70
181,21,0,1,28,70
182,182,6.15325,0,71,72
183,8,0.31601,0,19,71
184,8,0.31601,0,30,71
185,18,4.52072,1,7,72
186,18,10.7721,1,48,72
187,187,9.39853,0,73,74
188,3,1.8704,0,11,73
189,3,1.8704,0,22,73
190,23,1.31834,1,2,74
191,23,7.3498,1,42,74
192,192,5.4541,0,75,76
193,8,0.243863,0,23,75
194,8,0.388157,0,35,75
195,92,6.24276,0,35,76
196,92,0.637743,0,36,76
197,197,10.0978,0,77,78
198,4,3.50087,0,3,77
199,4,3.50087,0,27,77
200,26,7.18709,1,0,78
201,26,10.6314,1,3,78
202,202,8.6882,0,79,80
203,3,0.935201,0,8,79
204,3,0.935201,0,41,79
205,11,12.5421,1,2,80
206,11,5.00936,1,6,80
207,207,8.04384,0,81,82
208,3,0.935201,0,22,81
209,3,0.935201,0,41,81
210,187,4.69927,0,73,82
211,187,4.69927,0,74,82
212,212,3.52231,0,83,84
213,3,1.8704,0,2,83
214,3,1.8704,0,33,83
215,23,1.31834,1,2,84
216,23,0,1,74,84
217,217,4.59831,0,85,86
218,32,1.96733,0,11,85
219,32,1.96733,0,37,85
220,3,0.935201,0,2,86
221,3,0.935201,0,83,86
222,222,1.43704,0,87,88
223,67,1.09579,0,26,87
224,67,1.09579,0,29,87
225,77,1.8346,0,29,88
226,77,1.8346,0,53,88
227,227,7.01983,0,89,90
228,112,2.84303,0,43,89
229,112,2.84303,0,44,89
230,17,6.42062,1,1,90
231,17,0,1,36,90
232,232,3.96956,0,91,92
233,107,5.08256,0,41,91
234,107,5.08256,0,42,91
235,3,0.4676,0,8,92
236,3,0.467601,0,79,92
237,237,6.43923,0,93,94
238,3,1.8704,0,11,93
239,3,1.8704,0,33,93
240,87,8.65606,0,33,94
241,87,8.65606,0,34,94
242,242,5.57275,0,95,96
243,5,0.75519,0,8,95
244,5,0.75519,0,39,95
245,1,1.72314,0,9,96
246,1,1.72314,0,21,96
247,247,3.67042,0,97,98
248,1,2.84257,0,9,97
249,1,0.603712,0,34,97
250,10,16.0154,1,6,98
251,10,0,1,62,98
252,252,8.46537,0,99,100
253,1,0.861572,0,8,99
254,1,0.861571,0,45,99
255,14,7.90285,1,1,100
256,14,0,1,46,100
257,257,7.37765,0,101,102
258,8,0.632021,0,15,101
259,8,0.632021,0,43,101
260,20,12.8494,1,3,102
261,20,0,1,24,102
262,262,2.97144,0,103,104
263,27,3.29097,0,9,103
264,27,3.29097,0,10,103
265,25,3.36252,1,0,104
266,25,0,1,10,104
267,267,5.60653,0,105,106
268,8,1.26404,0,8,105
269,8,1.26404,0,26,105
270,3,0.935201,0,22,106
271,3,0.935201,0,73,106
272,272,7.71189,0,107,108
273,2,2.97754,0,8,107
274,2,2.97754,0,44,107
275,16,10.111,1,1,108
276,16,8.04882,1,6,108
277,277,6.8644,0,109,110
278,57,2.87817,0,21,109
279,57,2.87817,0,22,109
280,3,0.935201,0,11,110
281,3,0.935201,0,93,110
282,282,2.35499,0,111,112
283,7,3.31961,0,6,111
284,7,3.31961,0,47,111
285,13,1.30661,1,6,112
286,13,5.083,1,14,112
287,287,10.8957,0,113,114
288,5,0.75519,0,25,113
289,5,0.75519,0,39,113
290,25,0,1,40,114
291,25,2.94049,1,68,114
292,292,4.29254,0,115,116
293,117,4.99656,0,45,115
294,117,4.99656,0,46,115
295,14,14.2081,1,0,116
296,14,0,1,46,116
297,297,11.4235,0,117,118
298,102,5.45022,0,39,117
299,102,5.45022,0,40,117
300,27,1.86484,0,9,118
301,27,1.42613,0,103,118
302,302,4.50619,0,119,120
303,37,2.54185,0,13,119
304,37,2.54185,0,14,119
305,7,3.31961,0,8,120
306,7,3.31961,0,47,120
307,307,5.7075,0,121,122
308,8,0.31601,0,23,121
309,8,0.31601,0,30,121
310,17,-nan(ind),1,36,122
311,17,-nan(ind),1,90,122
312,312,6.43024,0,123,124
313,2,2.97754,0,1,123
314,2,2.97754,0,44,123
315,16,3.54818,1,1,124
316,16,6.56285,1,108,124
317,317,1.32137,0,125,126
318,127,0.71893,0,49,125
319,127,2.37274,0,50,125
320,82,1.43192,0,31,126
321,82,1.43192,0,32,126
322,322,8.72241,0,127,128
323,4,0.602336,0,8,127
324,4,2.89853,0,51,127
325,20,8.09389,1,3,128
326,20,4.75554,1,102,128
327,327,10.841,0,129,130
328,67,1.09579,0,25,129
329,67,1.09579,0,29,129
330,22,0,1,54,130
331,22,7.21775,1,60,130
332,332,2.28446,0,131,132
333,6,1.77888,0,13,131
334,6,1.77888,0,31,131
335,6,0.889438,0,31,132
336,6,0.889438,0,49,132
337,337,2.83035,0,133,134
338,8,0.31601,0,7,133
339,8,0.31601,0,35,133
340,62,1.76285,0,23,134
341,62,1.76285,0,57,134
342,342,3.12778,0,135,136
343,122,2.03496,0,47,135
344,122,3.57656,0,48,135
345,18,0,1,48,136
346,18,10.7721,1,72,136
347,347,1.62908,0,137,138
348,97,1.79725,0,37,137
349,97,1.79725,0,38,137
350,24,2.57588,1,2,138
351,24,0,1,38,138
352,352,6.68882,0,139,140
353,132,5.85401,0,51,139
354,132,5.85401,0,52,139
355,4,1.75043,0,27,140
356,4,1.75044,0,51,140
357,357,10.1501,0,141,142
358,142,8.58219,0,55,141
359,142,8.5822,0,56,141
360,24,0,1,12,142
361,24,8.5782,1,16,142
362,362,2.11161,0,143,144
363,8,1.26404,0,15,143
364,8,1.26404,0,19,143
365,162,1.38619,0,63,144
366,162,1.38619,0,64,144
367,367,4.13506,0,145,146
368,147,1.51096,0,57,145
369,147,1.51096,0,58,145
370,337,1.41517,0,133,146
371,337,1.41517,0,134,146
372,372,2.79048,0,147,148
373,77,1.8346,0,30,147
374,77,1.8346,0,53,147
375,137,3.9619,0,53,148
376,137,3.96191,0,54,148
377,377,2.55569,0,149,150
378,1,1.62088,0,34,149
379,1,1.62088,0,61,149
380,10,-nan(ind),1,62,150
381,10,-nan(ind),1,98,150
382,382,6.53121,0,151,152
383,5,1.51038,0,4,151
384,5,1.51038,0,59,151
385,152,5.77142,0,59,152
386,152,5.77142,0,60,152
387,387,7.99304,0,153,154
388,8,0.632021,0,26,153
389,8,0.63202,0,43,153
390,20,0,1,102,154
391,20,4.75554,1,128,154
392,392,2.71409,0,155,156
393,52,1.78986,0,19,155
394,52,1.78986,0,63,155
395,52,1.78986,0,20,156
396,52,1.78986,0,63,156
397,397,4.23461,0,157,158
398,167,3.21334,0,65,157
399,167,3.21334,0,66,157
400,2,1.48877,0,8,158
401,2,1.48877,0,107,158
402,402,10.1968,0,159,160
403,5,1.51038,0,17,159
404,5,1.51038,0,59,159
405,327,5.42051,0,129,160
406,327,5.42051,0,130,160
407,407,2.44131,0,161,162
408,172,2.65228,0,67,161
409,172,2.65228,0,68,161
410,25,-nan(ind),1,18,162
411,25,-nan(ind),1,68,162
412,412,4.10953,0,163,164
413,42,1.00623,0,55,163
414,42,1.00623,0,64,163
415,142,4.2911,0,55,164
416,142,4.2911,0,141,164
417,417,8.82377,0,165,166
418,1,0.861572,0,21,165
419,1,0.861572,0,45,165
420,14,14.2081,1,0,166
421,14,0,1,116,166
422,422,2.17782,0,167,168
423,62,1.76285,0,24,167
424,62,1.76285,0,57,167
425,257,3.68882,0,101,168
426,257,3.68882,0,102,168
427,427,4.45587,0,169,170
428,6,1.31773,0,13,169
429,6,1.31773,0,65,169
430,15,-nan(ind),1,32,170
431,15,-nan(ind),1,66,170
432,432,7.94322,0,171,172
433,47,3.07343,0,18,171
434,47,3.07343,0,67,171
435,5,0.75519,0,17,172
436,5,0.755189,0,159,172
437,437,2.48176,0,173,174
438,32,0.983664,0,37,173
439,32,0.983664,0,56,173
440,24,-nan(ind),1,12,174
441,24,-nan(ind),1,38,174
442,442,7.70046,0,175,176
443,47,3.07343,0,17,175
444,47,3.07343,0,67,175
445,25,0,1,68,176
446,25,2.94049,1,114,176
447,447,5.20295,0,177,178
448,8,0.158005,0,19,177
449,8,0.158005,0,71,177
450,17,-nan(ind),1,90,178
451,17,-nan(ind),1,122,178
452,452,2.41929,0,179,180
453,8,0.158005,0,30,179
454,8,0.158005,0,71,179
455,447,2.60148,0,177,180
456,447,2.60148,0,178,180
457,457,6.35386,0,181,182
458,6,1.31773,0,8,181
459,6,1.31773,0,65,181
460,12,14.3149,1,0,182
461,12,3.30209,1,5,182
462,462,7.75204,0,183,184
463,3,0.935201,0,11,183
464,3,0.935201,0,73,183
465,11,1.90753,1,2,184
466,11,10.6346,1,80,184
467,467,2.20249,0,185,186
468,72,2.74421,0,28,185
469,72,2.74421,0,69,185
470,21,0,1,28,186
471,21,2.21398,1,52,186
472,472,3.07649,0,187,188
473,192,2.72705,0,75,187
474,192,2.72705,0,76,187
475,17,-nan(ind),1,36,188
476,17,-nan(ind),1,122,188
477,477,3.34052,0,189,190
478,92,3.12138,0,35,189
479,92,3.12138,0,76,189
480,17,6.71591,1,7,190
481,17,0,1,36,190
482,482,0.932936,0,191,192
483,32,0.983664,0,12,191
484,32,0.983664,0,56,191
485,24,-nan(ind),1,12,192
