index, isfixed(bool), pos.x,pos.y,pos.z
0,1,9.9097,22.1718,-8.30541
1,1,-5.3799,0.067619,-14.7494
2,1,-6.14098,13.1084,13.4665
3,1,-11.225,21.276,-15.2775
4,1,-10.66,23.0871,-6.10196
5,1,8.29727,0.225081,-9.1276
6,1,8.7546,0.869246,2.9947
7,1,-12.0489,3.85321,-0.229367
8,0,-2.31165,10.5823,-4.66626
9,0,3.79902,16.3771,-6.48584
10,1,8,23,-4
11,0,-4.38297,11.7209,4.46045
12,1,-2,12,14
13,0,2.04275,6.01599,-6.59872
14,1,4,0,-6
15,0,-7.3739,7.13014,-2.49841
16,1,-12,1,-9
17,0,-6.66186,16.7981,-5.46431
18,1,3,24,-15
19,0,-9.79389,5.37317,-1.51012
20,1,-12,1,-9
21,0,0.680197,13.6685,-5.34304
22,0,-3.30176,11.0481,0.0469604
23,0,-10.9564,4.54127,-0.996155
24,1,-12,1,-9
25,0,-4.24962,13.712,-5.57954
26,0,-5.02666,8.49314,-4.10355
27,0,-6.82082,15.6922,-10.2252
28,1,3,24,-15
29,0,-4.6449,11.1019,-4.84798
30,0,-10.4663,4.68964,-1.82498
31,0,5.28546,2.78218,-7.84988
32,1,4,0,-6
33,0,-5.04823,12.4209,9.3981
34,0,6.98406,19.6762,-7.06037
35,0,-11.5634,4.03188,-0.963337
36,1,-12,1,-9
37,0,-2.92282,11.8568,9.605
38,1,-2,12,14
39,0,-3.14343,11.5842,-5.34128
40,1,4,0,-6
41,0,-2.43389,10.4436,-2.68492
42,1,4,0,-6
43,0,-6.33019,7.52509,-3.97492
44,0,-3.64221,4.83567,-9.97988
45,0,-0.646207,11.5569,-5.05888
46,1,4,0,-6
47,0,3.47161,5.20975,-1.10013
48,1,7,0,2
49,0,6.71774,1.3586,-8.38813
50,1,4,0,-6
51,0,-3.64198,12.9669,-7.94125
52,1,-12,1,-9
53,0,-7.65652,7.94954,-3.43742
54,1,-12,1,-9
55,0,-9.84853,3.68042,-6.46422
56,0,-2.42626,11.9302,11.8985
57,0,-11.4743,2.60275,-5.62014
58,1,-12,1,-9
59,0,-8.04689,20.4003,-6.44482
60,1,3,24,-15
61,0,9.70485,22.0161,-8.14826
62,1,8,23,-4
63,0,-10.9073,2.9468,-6.00279
64,0,-8.581,5.2015,-4.77232
65,0,0.246154,7.09987,-5.81277
66,1,4,0,-6
67,0,-1.11335,20.7651,-10.9279
68,1,3,24,-15
69,0,-1.21497,20.2847,-12.9495
70,1,3,24,-15
71,0,-9.99903,4.92048,-2.69238
72,1,-12,1,-9
73,0,-2.87637,11.2831,2.30653
74,1,-2,12,14
75,0,-11.2326,3.98821,-2.13095
76,0,-11.9683,1.25,-8.33103
77,0,-8.37394,18.8659,-13.1039
78,1,3,24,-15
79,0,-1.62592,9.05617,-3.93122
80,1,4,0,-6
81,0,-1.93912,9.94139,-1.46595
82,0,-2.39864,11.6498,8.43198
