Unique Index, Index, restlegth, isforbidden(bool), source vertex, target vertex
1,1,34.641,0,0,1
2,2,34.641,0,0,2
3,3,34.641,0,0,3
4,4,34.641,0,0,4
5,5,34.641,0,0,5
6,6,34.641,0,0,6
7,7,34.641,0,0,7
8,8,34.641,0,0,8
9,9,56.5685,1,1,3
10,10,40,1,2,3
11,11,40,1,1,2
12,12,56.5685,1,3,5
13,13,40,1,2,5
14,14,56.5685,1,1,5
15,15,40,1,5,7
16,16,40,1,1,7
17,17,56.5685,1,5,8
18,18,40,1,7,8
19,19,56.5685,1,1,8
20,20,40,1,4,8
21,21,40,1,1,4
22,22,56.5685,1,3,8
23,23,40,1,3,4
24,24,40,1,6,8
25,25,40,1,3,6
26,26,40,1,5,6
27,27,28.2843,0,9,10
28,3,17.3205,0,0,9
29,3,17.3205,0,3,9
30,8,17.3205,0,0,10
31,8,17.3205,0,8,10
32,32,20,0,11,12
33,1,17.3205,0,0,11
34,1,17.3205,0,1,11
35,2,17.3205,0,0,12
36,2,17.3205,0,2,12
37,37,16.7247,0,13,14
38,7,17.3205,0,0,13
39,7,17.3205,0,7,13
40,1,2.75025,0,0,14
41,1,14.5703,0,11,14
42,42,26.0883,0,15,16
43,5,17.3205,0,0,15
44,5,17.3205,0,5,15
45,2,8.66025,0,2,16
46,2,8.66025,0,12,16
47,47,17.3205,0,17,18
48,6,17.3205,0,0,17
49,6,17.3205,0,6,17
50,24,0,1,6,18
51,24,40,1,8,18
52,52,17.3205,0,19,20
53,4,17.3205,0,0,19
54,4,17.3205,0,4,19
55,21,40,1,1,20
56,21,0,1,4,20
57,57,28.7428,0,21,22
58,3,8.66025,0,3,21
59,3,8.66026,0,9,21
60,2,4.33013,0,12,22
61,2,4.33013,0,16,22
62,62,10.8045,0,23,24
63,3,8.66025,0,0,23
64,3,8.66025,0,9,23
65,2,8.66025,0,0,24
66,2,8.66025,0,12,24
67,67,29.6052,0,25,26
68,27,14.1421,0,9,25
69,27,14.1421,0,10,25
70,22,56.5685,1,3,26
71,22,0,1,8,26
72,72,19.9547,0,27,28
73,32,10,0,11,27
74,32,10,0,12,27
75,2,4.33013,0,2,28
76,2,4.33013,0,16,28
77,77,25.5462,0,29,30
78,37,8.36234,0,13,29
79,37,8.36234,0,14,29
80,16,40,1,1,30
81,16,0,1,7,30
82,82,25.0979,0,31,32
83,8,8.66025,0,0,31
84,8,8.66025,0,10,31
85,7,8.66025,0,7,32
86,7,8.66026,0,13,32
87,87,24.6731,0,33,34
88,7,8.66025,0,0,33
89,7,8.66025,0,13,33
90,5,8.66025,0,5,34
91,5,8.66025,0,15,34
92,92,28.9158,0,35,36
93,1,8.66025,0,1,35
94,1,8.66025,0,11,35
95,5,8.66025,0,0,36
96,5,8.66025,0,15,36
97,97,13.1984,0,37,38
98,42,13.0441,0,15,37
99,42,13.0441,0,16,37
100,2,2.16506,0,16,38
101,2,2.16506,0,28,38
102,102,4.16463,0,39,40
103,1,1.37513,0,0,39
104,1,1.37513,0,14,39
105,5,4.33013,0,0,40
106,5,4.33013,0,36,40
107,107,7.74504,0,41,42
108,1,7.28513,0,11,41
109,1,7.28513,0,14,41
110,1,0.687563,0,14,42
111,1,0.687563,0,39,42
112,112,19.2033,0,43,44
113,6,8.66025,0,0,43
114,6,8.66025,0,17,43
115,3,4.33013,0,9,44
116,3,4.33013,0,21,44
117,117,0,0,45,46
118,6,8.66025,0,6,45
119,6,8.66026,0,17,45
120,47,8.66026,0,17,46
121,47,8.66025,0,18,46
122,122,25.8509,0,47,48
123,4,8.66025,0,4,47
124,4,8.66026,0,19,47
125,8,4.33013,0,10,48
126,8,4.33013,0,31,48
