index, isfixed(bool), pos.x,pos.y,pos.z
0,1,0,0,0
1,1,-25,-25,-25
2,1,25,-25,-25
3,1,25,-25,25
4,1,-25,-25,25
5,1,25,25,-25
6,1,25,25,25
7,1,-25,25,-25
8,1,-25,25,25
9,0,12.5,-12.5,12.5
10,0,-12.5,12.5,12.5
11,0,-12.5,-12.5,-12.5
12,0,12.5,-12.5,-12.5
13,0,-12.5,12.5,-12.5
14,0,-1.72171,-2.04727,-2.04727
15,0,12.5,12.5,-12.5
16,0,17.867,-19.0016,-19.0019
17,0,12.5,12.5,12.5
18,1,25,25,25
19,0,-12.5,-12.5,12.5
20,1,-25,-25,25
21,0,18.0389,-18.0389,19.493
22,0,14.3526,-15.1363,-16.1278
23,0,5.51511,-5.51564,6.96707
24,0,5.28338,-6.29003,-6.51431
25,0,-0.0214224,0.0208836,13.9729
26,1,-25,25,25
27,0,-0.084548,-12.6746,-13.0814
28,0,21.5618,-21.3118,-21.9701
29,0,-7.14638,5.27256,-7.34275
30,1,-25,25,-25
31,0,-5.8052,5.80514,6.90406
32,0,-18.7067,18.4823,-18.7292
33,0,-6.18174,5.97071,-6.19327
34,0,19.2792,17.4056,-19.3148
35,0,-17.3773,-18.9609,-19.3371
36,0,6.74373,4.85217,-6.78502
37,0,15.7142,-4.18055,-15.7976
38,0,19.5895,-19.6907,-19.8723
39,0,-1.16279,-0.195176,-1.3921
40,0,2.94038,1.97464,-3.74922
41,0,-5.73458,-6.49577,-8.23271
42,0,-1.55421,-0.182271,-2.20015
43,0,6.66666,6.66666,6.66666
44,0,14.1295,-14.1808,15.9343
45,0,19.4061,18.5921,19.4592
46,0,19.4061,18.5921,19.4592
47,0,-19.1667,-19.1667,19.1667
48,0,-9.58785,9.68111,8.20223
