Unique Index, Index, restlegth, isforbidden(bool), source vertex, target vertex
1,1,3.4641,0,0,1
2,2,3.4641,0,0,2
3,3,3.4641,0,0,3
4,4,3.4641,0,0,4
5,5,3.4641,0,0,5
6,6,3.4641,0,0,6
7,7,3.4641,0,0,7
8,8,3.4641,0,0,8
9,9,5.65685,1,1,3
10,10,4,1,2,3
11,11,4,1,1,2
12,12,5.65685,1,3,5
13,13,4,1,2,5
14,14,5.65685,1,1,5
15,15,4,1,5,7
16,16,4,1,1,7
17,17,5.65685,1,5,8
18,18,4,1,7,8
19,19,5.65685,1,1,8
20,20,4,1,4,8
21,21,4,1,1,4
22,22,5.65685,1,3,8
23,23,4,1,3,4
24,24,4,1,6,8
25,25,4,1,3,6
26,26,4,1,5,6
27,27,1.03923,0,9,10
28,4,1.73205,0,0,9
29,4,1.73205,0,4,9
30,20,1.13137,1,4,10
31,20,3.29848,1,8,10
32,32,2,0,11,12
33,2,1.73205,0,0,11
34,2,1.73205,0,2,11
35,5,1.73205,0,0,12
36,5,1.73205,0,5,12
37,37,1.03923,0,13,14
38,7,1.73205,0,0,13
39,7,1.73205,0,7,13
40,15,4.25206,1,5,14
41,15,1.44222,1,7,14
42,42,2,0,15,16
43,6,1.73205,0,0,15
44,6,1.73205,0,6,15
45,8,1.73205,0,0,16
46,8,1.73205,0,8,16
47,47,2.59786,0,17,18
48,7,0.823885,0,7,17
49,7,0.823885,0,13,17
50,1,1.73205,0,0,18
51,1,1.73205,0,1,18
52,52,2.99693,0,19,20
53,8,0.951324,0,8,19
54,8,0.951324,0,16,19
55,5,0.801726,0,0,20
56,5,0.801726,0,12,20
57,57,0.264394,0,21,22
58,7,0.146092,0,0,21
59,7,1.53122,0,13,21
60,8,0.254213,0,0,22
61,8,1.20981,0,16,22
62,62,1.32322,0,23,24
63,5,0.940838,0,12,23
64,5,0.244063,0,20,23
65,1,0.839632,0,0,24
66,1,0.839632,0,18,24
67,67,1.42198,0,25,26
68,7,0.650699,0,13,25
69,7,0.650699,0,21,25
70,15,4.63033,1,5,26
71,15,1.2,1,14,26
72,72,2.63248,0,27,28
73,4,0.792932,0,4,27
74,4,0.792932,0,9,27
75,3,1.73205,0,0,28
76,3,1.73205,0,3,28
77,77,1.44617,0,29,30
78,4,0.884543,0,0,29
79,4,0.884543,0,9,29
80,20,3.2249,1,8,30
81,20,0.894427,1,10,30
82,82,1.45852,0,31,32
83,32,0.679599,0,11,31
84,32,0.679599,0,12,31
85,5,0.868655,0,5,32
86,5,0.868655,0,12,32
87,87,0.725706,0,33,34
88,4,0.397842,0,9,33
89,4,0.397842,0,29,33
90,72,0.866357,0,27,34
91,72,0.866357,0,28,34
92,92,1.0257,0,35,36
93,4,0.21845,0,29,35
94,4,0.21845,0,33,35
95,20,0.894427,1,10,36
96,20,0,1,30,36
97,97,0.477947,0,37,38
98,92,0.453224,0,35,37
99,92,0.453224,0,36,37
100,4,0.21631,0,9,38
101,4,0.21631,0,33,38
102,102,3.42078,0,39,40
103,1,1.13675,0,1,39
104,1,0.623938,0,18,39
105,4,0.542514,0,4,40
106,4,0.542515,0,27,40
