index, isfixed(bool), pos.x,pos.y,pos.z
0,1,0,0,0
1,1,-5,-5,-5
2,1,5,-5,-5
3,1,5,-5,5
4,1,-5,-5,5
5,1,5,5,-5
6,1,5,5,5
7,1,-5,5,-5
8,1,-5,5,5
9,0,-2.5,2.5,2.5
10,1,-3,5,2
11,0,-1.28281,1.56173,1.14335
12,0,-1,-1,1
13,0,-2.5,2.5,-2.5
14,1,-5,2,-3
15,0,-2.04023,2.19618,1.83474
16,0,2.5,2.5,-2.5
17,0,3.45906,3.75117,-3.47323
18,0,2.5,2.5,2.5
19,0,4.17621,4.30903,-3.91143
20,0,2.47776,2.99286,-2.22076
21,0,-1.26797,1.4752,1.13736
22,1,0,5,1
23,0,-0.0726289,2.30004,0.00520551
24,1,0,5,1
25,0,2.99051,3.13913,-0.320866
26,1,5,3,-1
27,0,-2.5,-2.5,-2.5
28,0,2.5,-2.5,-2.5
29,0,-1.28375,-0.0529274,1.28537
30,1,-2,0,5
31,0,3.35771,3.2816,-1.22733
32,0,1.39875,1.38385,0.779078
33,0,-0.451283,3.69459,1.06291
34,0,-2.01236,3.33482,1.91642
35,0,0.536152,1.18998,-0.418722
36,0,-2.07193,-2.89323,-2.89323
37,0,1.661,1.62339,0.420589
38,0,-1.08923,2.74135,1.23117
39,0,-3.41352,-3.19999,3.50283
40,0,-1.73637,-0.0432253,3.64335
41,0,-4.01351,4.55002,3.93259
42,0,-1.51704,-2.26137,-2.44933
43,0,0.502901,0.801337,0.25049
44,1,0,5,1
45,0,-1.73417,-0.350375,2.91046
46,0,-2.26275,-1.04848,3.58203
47,0,4.26841,4.18431,3.40076
48,0,-2.21262,3.7125,2.15712
49,0,-3.8353,-3.43239,-3.69184
50,1,-5,-3,-4
51,0,-1.22215,-0.267186,1.92207
52,0,-0.289348,0.435019,0.61846
53,0,2.97289,3.58452,-2.50447
54,0,1.02926,2.43202,-1.00495
55,0,-0.141955,3.2905,1.45918
56,0,-2.45906,4.4975,2.25639
57,0,-0.205387,3.57629,1.44283
58,0,-4.16179,4.32725,4.01507
59,0,-1.10463,-0.0844812,1.82374
60,0,-2.12562,-1.69079,2.53846
61,0,2.5457,3.28367,0.90236
62,1,2,5,0
63,0,2.5,-2.5,2.5
64,0,-3.19275,-2.06701,-2.71345
65,0,-2.24016,1.49261,0.77378
66,1,-5,2,0
67,0,0.0966705,-1.31187,-1.64276
68,0,-4.53125,-4.10152,-4.30698
69,0,-1.47718,-0.239128,2.55489
70,1,-2,0,5
71,0,-4.06182,2.14322,-2.78275
72,1,-5,2,-3
73,0,-3.0169,3.67475,2.83125
74,0,-0.61467,0.717353,1.23763
75,0,-2.76391,2.37534,1.2985
76,1,-5,2,0
77,0,-1.7783,4.06974,2.12089
78,1,-3,5,2
