Unique Index, Index, restlegth, isforbidden(bool), source vertex, target vertex
1,1,5.96058,0,4,8
2,2,15.2859,1,2,8
3,3,0,1,5,5
4,4,7.52181,1,6,8
5,5,5.96058,1,4,8
6,6,12.0743,1,1,3
7,7,14.2745,1,1,6
8,8,6.79164,1,1,7
9,9,7.71461,1,0,1
10,10,5.17785,1,3,6
11,11,14.8875,1,0,3
12,12,8.18386,1,3,4
13,13,14.9854,1,2,6
14,14,6.86097,1,2,7
15,15,8.78499,1,0,2
16,16,12.9756,1,2,4
17,17,12.5213,1,6,7
18,18,11.4077,1,0,7
19,19,12.6522,1,0,4
20,20,9.52487,0,0,5
21,21,7.83164,0,5,7
22,22,8.24593,0,5,6
23,23,8.12398,0,2,5
24,24,6.90177,0,3,5
25,25,8.05435,0,1,5
26,26,9.5417,0,5,8
27,27,7.28357,0,4,5
