Unique Index, Index, restlegth, isforbidden(bool), source vertex, target vertex
1,1,3.1039,0,0,16
2,2,3.1039,0,1,16
3,3,3.19378,0,2,16
4,4,3.19378,0,3,16
5,5,3.93653,0,4,16
6,6,3.9031,0,5,16
7,7,3.93653,0,6,16
8,8,3.9031,0,7,16
9,9,3.36456,0,8,16
10,10,3.36456,0,9,16
11,11,4.0763,0,10,16
12,12,4.0763,0,11,16
13,13,4.11342,0,12,16
14,14,4.11342,0,13,16
15,15,4.71341,0,14,16
16,16,4.71341,0,15,16
17,17,6.78822,1,4,15
18,18,5.6,1,14,15
19,19,4.86621,1,4,14
20,20,6.68161,1,5,15
21,21,4.71634,1,5,14
22,22,1.02952,1,5,12
23,23,4,1,12,14
24,24,4,1,0,5
25,25,4.13036,1,0,12
26,26,1.02952,1,0,8
27,27,4,1,8,12
28,28,5.65685,1,8,14
29,29,4,1,8,10
30,30,4,1,10,14
31,31,4.15692,1,4,8
32,32,1.13137,1,4,10
33,33,1.13137,1,2,8
34,34,4,1,2,4
35,35,1.02952,1,0,2
36,36,4.13036,1,0,3
37,37,4,1,2,3
38,38,5.65685,1,3,4
39,39,4,1,3,6
40,40,4,1,4,6
41,41,4.15692,1,3,11
42,42,1.13137,1,6,11
43,43,1.13137,1,3,9
44,44,4,1,9,11
45,45,1.02952,1,1,3
46,46,1.02952,1,1,9
47,47,4.13036,1,1,13
48,48,4,1,9,13
49,49,5.65685,1,11,13
50,50,4,1,13,15
51,51,4,1,11,15
52,52,4.86621,1,6,15
53,53,4.84354,1,5,13
54,54,1.02952,1,7,13
55,55,4,1,5,7
56,56,4,1,1,7
57,57,5.65685,1,1,5
58,58,4,1,0,1
59,59,4.13036,1,8,12
60,60,4.13036,1,9,13
61,61,4,1,12,14
62,62,4,1,13,15
63,63,5.6,1,12,13
64,64,4,1,8,9
65,65,4.71634,1,8,10
66,66,4.71634,1,9,11
67,67,4,1,10,11
68,68,4.86621,1,11,15
69,69,4.86621,1,10,14
70,70,5.6,1,14,15
71,71,1.6,0,0,2
72,72,2.384,0,0,1
73,73,2.00707,0,0,10
74,74,2.63784,0,0,4
75,75,2.384,0,2,3
76,76,2.00707,0,2,11
77,77,2.63784,0,2,6
78,78,1.6,0,1,3
79,79,1.685,0,1,8
80,80,2.63784,0,1,5
81,81,1.685,0,3,9
82,82,2.63784,0,3,7
83,83,1.7266,0,7,13
84,84,1.7266,0,5,12
85,85,2.00707,0,4,14
86,86,2.384,0,4,5
87,87,2.384,0,6,7
88,88,3.2,0,4,6
89,89,3.2,0,5,7
90,90,2.00707,0,6,15
91,91,1.921,0,16,17
92,73,1.00354,0,0,16
93,73,1.00354,0,10,16
94,74,1.31892,0,0,17
95,74,1.31892,0,4,17
96,96,3.36818,0,18,19
97,89,1.6,0,5,18
98,89,1.6,0,7,18
99,79,1.12206,0,1,19
100,79,0.562936,0,8,19
101,101,32.513,0,20,21
102,91,0.822197,0,16,20
103,91,1.0988,0,17,20
104,69,2.33602,1,10,21
105,69,2.53019,1,14,21
106,106,15.6135,0,22,23
107,101,16.2565,0,20,22
108,101,16.2565,0,21,22
109,69,2.33602,1,10,23
110,69,0,1,21,23
111,111,1.60677,0,24,25
112,87,1.192,0,6,24
113,87,1.192,0,7,24
114,77,1.31892,0,2,25
115,77,1.31892,0,6,25
116,116,1.51576,0,26,27
117,90,1.00354,0,6,26
118,90,1.00353,0,15,26
119,77,0.659459,0,6,27
120,77,0.659459,0,25,27
121,121,15.1599,0,28,29
122,101,8.12825,0,20,28
123,101,8.12825,0,22,28
124,106,7.80673,0,22,29
125,106,7.80673,0,23,29
126,126,31.3677,0,30,31
127,91,0.549399,0,17,30
128,91,0.549399,0,20,30
129,69,2.53019,1,14,31
130,69,0,1,21,31
131,131,31.2055,0,32,33
132,91,0.150311,0,16,32
133,91,0.671885,0,20,32
134,69,2.33602,1,10,33
135,69,0,1,23,33
136,136,32.1072,0,34,35
137,81,0.842498,0,3,34
138,81,0.842498,0,9,34
139,66,2.27013,1,9,35
140,66,2.44621,1,11,35
141,141,32.1116,0,36,37
142,74,0.659459,0,0,36
143,74,0.659459,0,17,36
144,70,2.67142,1,14,37
145,70,2.92858,1,15,37
