index, isfixed(bool), pos.x,pos.y,pos.z
0,1,2.5,-2.905,2
1,1,-2.5,-2.905,2
2,1,2.5,-2.095,3
3,1,-2.5,-2.095,3
4,1,2.5,2.905,3
5,1,2.5,-2.905,-3
6,1,-2.5,2.905,3
7,1,-2.5,-2.905,-3
8,1,3.5,-2.095,2
9,1,-3.5,-2.095,2
10,1,3.5,2.905,2
11,1,-3.5,2.905,2
12,1,3.5,-2.095,-3
13,1,-3.5,-2.095,-3
14,1,3.5,2.905,-3
15,1,-3.5,2.905,-3
16,0,0,-0.4225,0.375
0,0,1,1.49,1.571
1,0,1,-1.49,1.571
2,0,-1,1.49,1.571
3,0,-1,-1.49,1.571
4,0,2,1.49,-1.571
5,0,2,-1.49,-1.571
6,0,-2,1.49,-1.571
7,0,-2,-1.49,-1.571
8,1,2.5,-2.905,2
9,1,-2.5,-2.905,2
10,1,2.5,2.905,3
11,1,-2.5,2.905,3
12,1,3.5,-2.095,-3
13,1,-3.5,-2.095,-3
14,1,3.5,2.905,-3
15,1,-3.5,2.905,-3
16,0,1.76413,2.15297,2.18112
17,0,1.39421,1.48813,-0.0964087
18,0,-0.00298846,-1.09608,-1.77811
19,0,2,-2.42088,1.68005
20,0,1.60678,1.86251,1.14364
21,1,25,25,25
22,0,13.7818,13.8981,13.5193
23,1,25,25,25
24,0,-1.79742,0.234624,-1.66848
25,0,-1.46055,1.46079,-0.113825
26,0,-2.6348,2.25309,-2.30605
27,0,-1.62093,1.50724,-0.889835
28,0,8.93322,9.09454,8.51949
29,0,19.8122,19.8656,19.6878
30,0,2.63491,2.8007,1.6678
31,1,25,25,25
32,0,2.37926,2.70425,2.35628
33,1,25,25,25
34,0,-1.82034,-2.13799,1.53142
35,1,-25,-25,25
36,0,1.90144,2.17583,1.4057
37,1,25,25,25
