Unique Index, Index, restlegth, isforbidden(bool), source vertex, target vertex
1,1,4.13036,1,8,12
2,2,4.13036,1,9,13
3,3,4,1,12,14
4,4,4,1,13,15
5,5,5.6,1,12,13
6,6,4,1,8,9
7,7,4.71634,1,8,10
8,8,4.71634,1,9,11
9,9,4,1,10,11
10,10,4.86621,1,11,15
11,11,4.86621,1,10,14
12,12,5.6,1,14,15
13,13,1.6,0,0,2
14,14,2.384,0,0,1
15,15,2.00707,0,0,10
16,16,2.63784,0,0,4
17,17,2.384,0,2,3
18,18,2.00707,0,2,11
19,19,2.63784,0,2,6
20,20,1.6,0,1,3
21,21,1.685,0,1,8
22,22,2.63784,0,1,5
23,23,1.685,0,3,9
24,24,2.63784,0,3,7
25,25,1.7266,0,7,13
26,26,1.7266,0,5,12
27,27,2.00707,0,4,14
28,28,2.384,0,4,5
29,29,2.384,0,6,7
30,30,3.2,0,4,6
31,31,3.2,0,5,7
32,32,2.00707,0,6,15
