Unique Index, Index, restlegth,isvisible(bool), isforbidden(bool), source vertex, target vertex
1,1,4.13036,0,1,8,12
2,2,4.13036,0,1,9,13
3,3,4,0,1,12,14
4,4,4,0,1,13,15
5,5,5.6,0,1,12,13
6,6,4,0,1,8,9
7,7,4.71634,0,1,8,10
8,8,4.71634,0,1,9,11
9,9,4,0,1,10,11
10,10,4.86621,0,1,11,15
11,11,4.86621,0,1,10,14
12,12,5.6,0,1,14,15
13,13,1.6,0,0,0,2
14,14,2.384,0,0,0,1
15,15,2.00707,0,0,0,10
16,16,2.63784,0,0,0,4
17,17,2.384,0,0,2,3
18,18,2.00707,0,0,2,11
19,19,2.63784,0,0,2,6
20,20,1.6,0,0,1,3
21,21,1.685,0,0,1,8
22,22,2.63784,0,0,1,5
23,23,1.685,0,0,3,9
24,24,2.63784,0,0,3,7
25,25,1.7266,0,0,7,13
26,26,1.7266,0,0,5,12
27,27,2.00707,0,0,4,14
28,28,2.384,0,0,4,5
29,29,2.384,0,0,6,7
30,30,3.2,0,0,4,6
31,31,3.2,0,0,5,7
32,32,2.00707,0,0,6,15
33,33,1.29732,0,0,16,17
34,20,0.8,0,0,1,16
35,20,0.8,0,0,3,16
36,9,1.94347,0,1,10,17
37,9,2.05653,0,1,11,17
38,38,1.71775,0,0,18,19
39,19,1.31892,0,0,2,18
40,19,1.31892,0,0,6,18
41,2,2.12618,1,1,9,19
42,2,2.00418,1,1,13,19
43,43,3.88785,0,0,20,21
44,25,1.37163,0,0,7,20
45,25,0.354978,0,0,13,20
46,17,1.192,0,0,2,21
47,17,1.192,0,0,3,21
48,48,2.53178,0,0,22,23
49,30,1.6,0,0,4,22
50,30,1.6,0,0,6,22
51,17,0.596,0,0,2,23
52,17,0.596,0,0,21,23
53,53,0.769975,0,0,24,25
54,21,0.842498,0,0,1,24
55,21,0.842498,0,0,8,24
56,7,0.675729,0,1,8,25
57,7,4.04062,0,1,10,25
58,58,0.838142,0,0,26,27
59,38,0.418468,0,0,18,26
60,38,1.29928,0,0,19,26
61,19,0.659459,0,0,2,27
62,19,0.659459,0,0,18,27
63,63,1.38898,0,0,28,29
64,13,0.8,0,0,0,28
65,13,0.8,0,0,2,28
66,7,1.24628,0,1,10,29
67,7,2.79434,0,1,25,29
68,68,0.720909,0,0,30,31
69,15,1.00353,0,0,0,30
70,15,1.00354,0,0,10,30
71,9,0.409087,0,1,10,31
72,9,1.53438,1,1,17,31
73,73,5.25697,0,0,32,33
74,32,1.00354,0,0,6,32
75,32,1.00354,0,0,15,32
76,26,0.863302,0,0,5,33
77,26,0.863302,0,0,12,33
78,78,1.99428,0,0,34,35
79,22,1.31892,0,0,1,34
80,22,1.31892,0,0,5,34
81,20,0.4,0,0,3,35
82,20,0.4,0,0,16,35
83,83,4.03687,0,0,36,37
84,33,0.648658,0,0,16,36
85,33,0.648658,0,0,17,36
86,18,1.00353,0,0,2,37
87,18,1.00354,0,0,11,37
88,88,0.910538,0,0,38,39
89,38,0.649639,0,0,19,38
90,38,0.649639,0,0,26,38
91,58,0.419071,0,0,26,39
92,58,0.419071,0,0,27,39
93,93,1.57624,0,0,40,41
94,31,1.6,0,0,5,40
95,31,1.6,0,0,7,40
96,4,1.48396,0,1,13,41
97,4,2.51604,1,1,15,41
98,98,0.720329,0,0,42,43
99,23,0.842498,0,0,3,42
100,23,0.842498,0,0,9,42
101,10,2.09317,1,1,11,43
102,10,2.77304,0,1,15,43
103,103,2.60871,0,0,44,45
104,14,1.192,0,0,0,44
105,14,1.192,0,0,1,44
106,24,1.31892,0,0,3,45
107,24,1.31892,0,0,7,45
108,108,3.5972,0,0,46,47
109,15,0.501767,0,0,10,46
110,15,0.501768,0,0,30,46
111,22,0.659459,0,0,1,47
112,22,0.659459,0,0,34,47
113,113,0.925662,0,0,48,49
114,15,0.501767,0,0,0,48
115,15,0.501767,0,0,30,48
116,108,1.7986,0,0,46,49
117,108,1.7986,0,0,47,49
118,118,1.13256,0,0,50,51
119,43,1.94392,0,0,20,50
120,43,1.94392,0,0,21,50
121,4,0.492394,0,1,13,51
122,4,0.991563,0,1,41,51
123,123,0.194673,0,0,52,53
124,53,0.544678,0,0,24,52
125,53,0.225297,0,0,25,52
126,7,0.675729,0,1,8,53
127,7,0,1,1,25,53
128,128,2.3568,0,0,54,55
129,13,0.4,0,0,2,54
130,13,0.4,0,0,28,54
131,24,0.247132,0,0,3,55
132,24,1.07179,0,0,45,55
133,133,1.83511,0,0,56,57
134,17,0.298,0,0,21,56
135,17,0.298,0,0,23,56
136,14,0.596,0,0,1,57
137,14,0.596,0,0,44,57
138,138,0.954506,0,0,58,59
139,25,0.685813,0,0,7,58
140,25,0.685813,0,0,20,58
141,3,1.87126,0,1,12,59
142,3,2.12874,1,1,14,59
143,143,1.71247,0,0,60,61
144,19,0.659459,0,0,6,60
145,19,0.659459,0,0,18,60
146,17,0.298,0,0,2,61
147,17,0.298,0,0,23,61
148,148,0.33471,0,0,62,63
149,27,1.66968,0,0,4,62
150,27,0.337395,0,0,14,62
151,1,2.50809,1,1,8,63
152,1,1.62227,0,1,12,63
153,153,1.66979,0,0,64,65
154,17,0.596,0,0,3,64
155,17,0.596,0,0,21,64
156,7,0.382423,0,1,8,65
157,7,0.293305,0,1,53,65
158,158,4.29464,0,0,66,67
159,18,0.501767,0,0,2,66
160,18,0.501768,0,0,37,66
161,21,0.421249,0,0,8,67
162,21,0.421249,0,0,24,67
163,163,3.41868,0,0,68,69
164,30,0.8,0,0,4,68
165,30,0.8,0,0,22,68
166,20,0.188039,0,0,3,69
167,20,0.211961,0,0,35,69
168,168,1.69457,0,0,70,71
169,29,1.192,0,0,6,70
170,29,1.192,0,0,7,70
171,38,0.209234,0,0,18,71
172,38,0.209234,0,0,26,71
173,173,2.27532,0,0,72,73
174,38,0.32482,0,0,19,72
175,38,0.32482,0,0,38,72
176,18,0.501768,0,0,11,73
177,18,0.501768,0,0,37,73
178,178,2.26515,0,0,74,75
179,30,0.8,0,0,6,74
180,30,0.8,0,0,22,74
181,5,3.64019,0,1,12,75
182,5,1.95981,1,1,13,75
183,183,0.305596,0,0,76,77
184,98,0.360164,0,0,42,76
185,98,0.360164,0,0,43,76
