index, isfixed(bool), pos.x,pos.y,pos.z
0,0,0.920582,1.10228,1.46055
1,0,0.929581,-1.34363,1.14488
2,0,-0.948553,0.928903,1.20759
3,0,-0.85707,-1.43697,0.983396
4,0,1.69188,1.4762,-1.40847
5,0,1.56587,-0.932126,-1.51957
6,0,-1.81228,1.2152,-1.39505
7,0,-1.68369,-1.15108,-1.45147
8,1,2.5,-2.905,2
9,1,-2.5,-2.905,2
10,1,2.5,2.905,3
11,1,-2.5,2.905,3
12,1,3.5,-2.095,-3
13,1,-3.5,-2.095,-3
14,1,3.5,2.905,-3
15,1,-3.5,2.905,-3
16,0,0.0166502,-1.53017,1.01353
17,1,0.5,-2.905,1
18,0,-1.66368,1.10313,-0.0432815
19,1,-3.5,1.905,0
20,0,-3.04026,-1.81924,-2.53891
21,0,-1.23479,-0.327144,0.652177
22,0,-0.179626,1.35841,-1.22093
23,0,-1.05681,0.281581,0.783772
24,0,1.56964,-2.18716,1.62366
25,1,1.5,-2.905,2
26,0,-2.03153,1.32801,0.0486515
27,0,-1.44683,1.1655,0.556408
28,0,0.0136851,1.15835,1.72047
29,1,0.5,1.905,3
30,0,1.7489,1.93821,2.333
31,1,1.5,1.905,3
32,0,-2.5136,1.96007,-2.23138
33,0,2.32238,-1.34643,-2.30631
34,0,1.28585,-1.16628,-0.0678375
35,0,-0.40111,-1.43266,0.900818
36,0,0.235769,-2.21258,1.15455
37,0,-1.68121,1.76476,2.14493
38,0,-2.71531,1.64011,0.124047
39,0,-1.82948,1.40131,0.369989
40,0,0.10619,-1.46084,-1.76396
41,1,0.5,-2.905,-2
42,0,-1.56639,-2.24485,1.42375
43,1,-1.5,-2.905,2
44,0,0.575892,-0.179628,1.36633
45,0,-1.13447,-1.2423,-0.0601968
46,0,2.11381,2.33613,2.62167
47,0,1.34768,-1.16198,0.672757
48,0,1.4096,1.53478,1.83493
49,0,1.61578,0.745798,1.70667
50,0,-2.61067,-0.933953,-0.791136
51,1,-3.5,-1.095,-1
52,0,1.5079,-2.70238,1.89392
53,1,1.5,-2.905,2
54,0,-0.448718,1.0604,1.49185
55,0,-0.864495,-1.22881,0.857446
56,0,-1.0006,-0.0625854,0.723151
57,0,0.660626,-0.724131,1.19936
58,0,-2.50727,-1.31037,-1.84814
59,1,-3.5,-1.095,-2
60,0,-1.72797,1.06521,-0.694431
61,0,-1.07177,0.6111,0.926933
62,0,3.24936,2.66964,-2.66773
63,1,3.5,2.905,-3
64,0,-1.23137,-0.959522,0.89566
65,1,-1.5,-2.905,1
66,0,-1.2615,1.27604,1.73941
67,0,2.00021,-2.47385,1.80173
68,0,0.72263,1.21301,-1.19952
69,0,-0.645611,-1.40531,0.924647
70,0,-1.71049,0.066879,-1.28887
71,0,-1.85601,1.20755,-0.0478195
72,0,-3.10079,1.78285,0.13283
73,0,-2.12538,2.30409,2.48401
74,0,-1.02444,1.36294,-1.30648
75,1,-3.5,1.905,-1
76,0,-1.5472,-2.61214,1.72815
77,1,-1.5,-2.905,2
78,0,0.147794,-1.88512,1.06485
79,1,0.5,-2.905,1
80,0,1.63481,1.28794,-0.0190071
81,1,3.5,1.905,0
82,0,-0.890984,-1.44126,-1.66624
83,1,-0.5,-2.905,-2
84,0,0.414776,-2.78155,-1.97007
85,1,0.5,-2.905,-2
86,0,0.409817,-1.38066,1.04508
87,0,-1.14351,-1.78538,1.11329
88,0,1.57201,1.92851,2.66492
89,1,1.5,1.905,3
90,0,2.84128,-1.69493,-2.63702
91,0,0.95298,-1.25252,-1.73976
92,0,-1.94109,1.37012,0.234892
93,0,-1.65085,1.28928,0.442089
94,0,-0.76267,-0.0401332,2.06683
