index, isfixed(bool), pos.x,pos.y,pos.z
0,0,1,1.49,1.571
1,0,1,-1.49,1.571
2,0,-1,1.49,1.571
3,0,-1,-1.49,1.571
4,0,2,1.49,-1.571
5,0,2,-1.49,-1.571
6,0,-2,1.49,-1.571
7,0,-2,-1.49,-1.571
8,1,2.5,-2.905,2
9,1,-2.5,-2.905,2
10,1,2.5,2.905,3
11,1,-2.5,2.905,3
12,1,3.5,-2.095,-3
13,1,-3.5,-2.095,-3
14,1,3.5,2.905,-3
15,1,-3.5,2.905,-3
16,0,0,-1.36396,1.07018
17,1,0.5,-2.905,1
18,0,-1.39676,1.48379,-0.0967075
19,1,-3.5,1.905,0
20,0,-3.14776,-1.88844,-2.75
21,0,-1.08451,0.00579548,1.22147
22,0,-0.00458491,1.57581,-1.57541
23,0,-1.07713,0.688487,1.26672
24,0,1.84226,-2.13854,1.5291
25,1,1.5,-2.905,2
26,0,-2.02491,1.61064,-0.0615682
27,0,-1.28399,1.48698,0.668755
28,0,0.0158485,1.43667,1.39977
29,1,0.5,1.905,3
30,0,1.78478,2.1537,2.18202
31,1,1.5,1.905,3
32,0,-2.67664,2.24518,-2.31788
33,0,2.65919,-1.58933,-2.39723
34,0,1.46174,-1.19161,-0.382042
35,0,-0.550175,-1.54466,1.04689
36,0,0.276812,-2.23946,1.02346
37,0,-1.78174,2.20727,2.22843
38,0,-2.77369,1.76136,0.00403008
39,0,-1.69868,1.56067,0.319467
40,0,0.0400674,-1.01006,-1.71761
41,1,0.5,-2.905,-2
42,0,-1.83478,-2.2219,1.5183
43,1,-1.5,-2.905,2
44,0,1.11059,0.0126476,1.22115
45,0,-1.40472,-1.3055,-0.381701
46,0,2.121,2.49227,2.63216
47,0,1.1371,-1.27656,0.385753
48,0,1.40905,1.71339,1.77684
49,0,1.6303,0.609625,1.50929
50,0,-2.09071,-0.982805,-0.925758
51,1,-3.5,-1.095,-1
52,0,1.56693,-2.7025,1.88283
53,1,1.5,-2.905,2
54,0,-0.43381,1.35943,1.4513
55,0,-1.05529,-1.43433,0.753024
56,0,-1.10094,0.207438,0.792858
57,0,0.973503,-0.724148,1.09411
58,0,-2.3692,-1.45318,-2.1287
59,1,-3.5,-1.095,-2
60,0,-1.60802,1.44837,-0.892254
61,0,-1.00624,0.947837,1.10009
62,0,3.23503,2.69923,-2.75
63,1,3.5,2.905,-3
64,0,-1.10139,-0.861401,0.853849
65,1,-1.5,-2.905,1
66,0,-1.4055,1.49887,1.76161
67,0,2.11353,-2.55497,1.79973
68,0,0.997133,1.52862,-1.41471
69,0,-0.690531,-1.54971,1.02192
70,0,-1.66728,0.173101,-1.62552
71,0,-1.8896,1.51889,-0.00495024
72,0,-3.13804,1.82516,0.0502691
73,0,-2.08052,2.3056,2.64642
74,0,-0.747518,1.43255,-1.46659
75,1,-3.5,1.905,-1
76,0,-1.59274,-2.60303,1.78521
77,1,-1.5,-2.905,2
78,0,0.124722,-1.76923,1.11927
79,1,0.5,-2.905,1
80,0,1.4109,1.45046,-0.142629
81,1,3.5,1.905,0
82,0,-1,-1.20066,-1.68656
83,1,-0.5,-2.905,-2
84,0,0.432403,-2.7025,-1.96623
85,1,0.5,-2.905,-2
86,0,0.577383,-1.39348,1.06513
87,0,-1.27686,-1.88516,1.2696
88,0,1.58606,1.92877,2.61844
89,1,1.5,1.905,3
90,0,2.91337,-1.69895,-2.75933
91,0,0.827324,-1.13695,-1.72283
92,0,-1.97447,1.53132,0.225136
93,0,-1.67007,1.43032,0.532415
94,0,-0.830768,-0.0548596,1.76148
95,1,-0.5,-0.095,3
96,0,-0.505117,0.913729,-0.273891
97,0,-1.56145,1.38226,0.286298
