counter,command,duration
0,physics,63
0,addcyc,1581
1,physics,60
1,addcyc,1548
2,physics,72
2,addcyc,1783
3,physics,75
3,addcyc,1856
4,physics,84
4,addcyc,1820
5,physics,89
5,addcyc,1947
6,physics,94
6,addcyc,2026
7,physics,97
7,addcyc,2051
8,physics,102
8,addcyc,2201
9,physics,107
9,addcyc,2510
10,physics,114
10,addcyc,2368
11,physics,120
11,addcyc,2687
12,physics,128
12,addcyc,2899
13,physics,133
13,addcyc,2628
14,physics,136
14,addcyc,2615
15,physics,141
15,addcyc,2738
16,physics,147
16,addcyc,3203
17,physics,152
17,addcyc,3164
18,physics,186
18,addcyc,3635
19,physics,164
19,addcyc,3394
20,physics,172
20,addcyc,3294
21,physics,185
21,addcyc,3447
22,physics,186
22,addcyc,3366
23,physics,195
23,addcyc,3590
24,physics,208
24,addcyc,3458
25,physics,200
25,addcyc,4098
26,physics,209
26,addcyc,3935
27,physics,222
27,addcyc,4110
28,physics,216
28,addcyc,4571
29,physics,222
29,addcyc,4321
30,physics,230
30,addcyc,4213
31,physics,236
31,addcyc,4937
32,physics,313
32,addcyc,4726
33,physics,248
33,addcyc,4696
34,physics,256
34,addcyc,4549
35,physics,271
35,addcyc,4684
36,physics,276
36,addcyc,5139
37,physics,284
37,addcyc,5078
38,physics,291
38,addcyc,5023
39,physics,338
39,addcyc,4991
40,physics,297
40,addcyc,5168
41,physics,296
41,addcyc,5743
42,physics,308
42,addcyc,5863
43,physics,319
43,addcyc,5665
44,physics,324
44,addcyc,5990
45,physics,309
45,addcyc,5881
46,physics,409
46,addcyc,5999
47,physics,336
47,addcyc,6067
48,physics,350
48,addcyc,5828
49,physics,362
49,addcyc,6017
50,physics,342
50,addcyc,6464
51,physics,370
51,addcyc,6241
52,physics,385
52,addcyc,6466
53,physics,398
53,addcyc,6720
54,physics,392
54,addcyc,6473
55,physics,402
55,addcyc,6400
56,physics,414
56,addcyc,7199
57,physics,416
57,addcyc,7071
58,physics,397
58,addcyc,6881
59,physics,407
59,addcyc,7285
60,physics,421
60,addcyc,7127
61,physics,446
61,addcyc,7373
62,physics,444
62,addcyc,8031
63,physics,473
63,addcyc,7655
64,physics,482
64,addcyc,7484
65,physics,468
65,addcyc,7358
66,physics,520
66,addcyc,8989
67,physics,491
67,addcyc,8354
68,physics,485
68,addcyc,8159
69,physics,473
69,addcyc,8335
70,physics,497
70,addcyc,8894
71,physics,512
71,addcyc,8118
72,physics,516
72,addcyc,8417
73,physics,490
73,addcyc,8194
74,physics,535
74,addcyc,8655
75,physics,583
75,addcyc,8981
76,physics,562
76,addcyc,8890
77,physics,540
77,addcyc,8829
78,physics,558
78,addcyc,9056
79,physics,564
79,addcyc,8859
80,physics,573
80,addcyc,9010
81,physics,583
81,addcyc,9707
82,physics,582
82,addcyc,9542
83,physics,589
83,addcyc,9045
84,physics,600
84,addcyc,9007
85,physics,594
85,addcyc,9336
86,physics,689
86,addcyc,9420
87,physics,619
87,addcyc,10276
88,physics,678
88,addcyc,9981
89,physics,629
89,addcyc,10004
90,physics,648
90,addcyc,10349
91,physics,645
91,addcyc,10109
92,physics,702
92,addcyc,10310
93,physics,653
93,addcyc,9995
94,physics,670
94,addcyc,10301
95,physics,673
95,addcyc,10317
96,physics,690
96,addcyc,10642
97,physics,683
97,addcyc,10308
98,physics,690
98,addcyc,10787
99,physics,700
99,addcyc,10110
100,physics,705
100,addcyc,11072
101,physics,737
101,addcyc,12958
102,physics,828
102,addcyc,12068
103,physics,731
103,addcyc,11597
104,physics,789
104,addcyc,12191
105,physics,738
105,addcyc,11821
106,physics,751
106,addcyc,11935
107,physics,762
107,addcyc,12380
108,physics,778
108,addcyc,12060
109,physics,772
109,addcyc,12288
110,physics,780
110,addcyc,12399
111,physics,781
111,addcyc,12427
112,physics,780
112,addcyc,12511
113,physics,933
113,addcyc,12471
114,physics,813
114,addcyc,13013
115,physics,813
115,addcyc,12860
116,physics,822
116,addcyc,13251
117,physics,827
117,addcyc,12563
118,physics,822
118,addcyc,12946
119,physics,827
119,addcyc,13982
120,physics,835
120,addcyc,15800
121,physics,901
121,addcyc,13452
122,physics,855
122,addcyc,13593
123,physics,979
123,addcyc,14060
124,physics,1042
124,addcyc,13848
125,physics,900
125,addcyc,13976
126,physics,880
126,addcyc,14308
127,physics,905
127,addcyc,14370
128,physics,898
128,addcyc,13963
129,physics,908
129,addcyc,14216
130,physics,896
130,addcyc,14380
131,physics,912
131,addcyc,13879
132,physics,877
132,addcyc,14938
133,physics,928
133,addcyc,14686
134,physics,952
134,addcyc,14151
135,physics,994
135,addcyc,14660
136,physics,1010
136,addcyc,14524
137,physics,922
137,addcyc,15047
138,physics,954
138,addcyc,15548
139,physics,955
139,addcyc,15126
140,physics,970
140,addcyc,15165
141,physics,976
141,addcyc,14468
142,physics,993
142,addcyc,15059
143,physics,1063
143,addcyc,15650
144,physics,1006
144,addcyc,15126
145,physics,1043
145,addcyc,15514
146,physics,1056
146,addcyc,14818
147,physics,1033
147,addcyc,15519
148,physics,1020
148,addcyc,16307
149,physics,1044
149,addcyc,16366
150,physics,1008
150,addcyc,16182
151,physics,1041
151,addcyc,16405
152,physics,1060
152,addcyc,16411
153,physics,1052
153,addcyc,20893
154,physics,1038
154,addcyc,17140
155,physics,1083
155,addcyc,16913
156,physics,1166
156,addcyc,17130
157,physics,1072
157,addcyc,18364
158,physics,1070
158,addcyc,17435
159,physics,1092
159,addcyc,17659
160,physics,1109
160,addcyc,17282
161,physics,1105
161,addcyc,18011
162,physics,1201
162,addcyc,18146
163,physics,1166
163,addcyc,18116
164,physics,1140
164,addcyc,18339
165,physics,1082
165,addcyc,19056
166,physics,1294
166,addcyc,18416
167,physics,1215
167,addcyc,18749
168,physics,1162
168,addcyc,18730
169,physics,1170
169,addcyc,19032
170,physics,1158
170,addcyc,18373
171,physics,1179
171,addcyc,19102
172,physics,1158
172,addcyc,19145
173,physics,1189
173,addcyc,19231
174,physics,1191
174,addcyc,19726
175,physics,1211
175,addcyc,19194
176,physics,1204
176,addcyc,19751
177,physics,1215
177,addcyc,20059
178,physics,1328
178,addcyc,20223
179,physics,1207
179,addcyc,19904
180,physics,1196
180,addcyc,20185
181,physics,1232
181,addcyc,20459
182,physics,1313
182,addcyc,20544
183,physics,1207
183,addcyc,20094
184,physics,1232
184,addcyc,20695
185,physics,1268
185,addcyc,19935
186,physics,1275
186,addcyc,20614
187,physics,1346
187,addcyc,20640
188,physics,1276
188,addcyc,20680
189,physics,1295
189,addcyc,21363
190,physics,1344
190,addcyc,21773
191,physics,1319
191,addcyc,21389
192,physics,1293
192,addcyc,20669
193,physics,1288
193,addcyc,20607
194,physics,1349
194,addcyc,21351
195,physics,1327
195,addcyc,20758
196,physics,1323
196,addcyc,21581
197,physics,1326
197,addcyc,21075
198,physics,1312
198,addcyc,21368
199,physics,1289
199,addcyc,21700
200,addcyc,21652
201,physics,1376
201,addcyc,22607
202,physics,1316
202,addcyc,22524
203,physics,1359
203,addcyc,22539
204,physics,1375
204,addcyc,22590
205,physics,1386
205,addcyc,22899
206,physics,1454
206,addcyc,23069
207,physics,1413
207,addcyc,21530
208,physics,1558
208,addcyc,23015
209,physics,1454
209,addcyc,22898
210,physics,1419
210,addcyc,22753
211,physics,1430
211,addcyc,22135
212,physics,1449
212,addcyc,21881
213,physics,1426
213,addcyc,22879
214,physics,1441
214,addcyc,22393
215,physics,1493
215,addcyc,22531
216,physics,1585
216,addcyc,23312
217,physics,1474
217,addcyc,23988
218,physics,1745
218,addcyc,22588
219,physics,1602
219,addcyc,25012
220,physics,1470
220,addcyc,24759
221,physics,1432
221,addcyc,23982
222,physics,1623
222,addcyc,24635
223,addcyc,24573
224,physics,1639
224,addcyc,24660
225,physics,1491
225,addcyc,25109
226,physics,1538
226,addcyc,25587
227,addcyc,25917
228,physics,1540
228,addcyc,23946
229,physics,1544
229,addcyc,24415
230,physics,1533
230,addcyc,13092
231,physics,1552
231,addcyc,24686
232,addcyc,25654
233,physics,1521
233,addcyc,34439
234,addcyc,27142
235,physics,1591
235,addcyc,26428
236,addcyc,26783
237,physics,1683
237,addcyc,27672
238,addcyc,26711
239,physics,1679
239,addcyc,27812
240,addcyc,26847
241,physics,1756
241,addcyc,29033
242,addcyc,28009
243,physics,1622
243,addcyc,27015
244,addcyc,28075
245,physics,1633
245,addcyc,28333
246,addcyc,28211
247,physics,1728
247,addcyc,28107
248,addcyc,28679
249,physics,1667
249,addcyc,27932
250,addcyc,28719
251,addcyc,28648
252,physics,1667
252,addcyc,28759
253,addcyc,27810
254,physics,1596
254,addcyc,29095
255,addcyc,29808
256,addcyc,29443
257,physics,1689
257,addcyc,30083
258,addcyc,29220
259,physics,1692
259,addcyc,30498
260,addcyc,29594
261,addcyc,29966
262,addcyc,29451
263,physics,1710
263,addcyc,31015
264,addcyc,28988
265,addcyc,29627
266,physics,1766
266,addcyc,30801
267,addcyc,28977
268,addcyc,30928
269,physics,1781
269,addcyc,29631
270,addcyc,29188
271,addcyc,30777
272,physics,1858
272,addcyc,30973
273,addcyc,31571
274,addcyc,32395
275,addcyc,31360
276,addcyc,31932
277,addcyc,31615
278,physics,1809
278,addcyc,30729
279,addcyc,32250
280,addcyc,32653
281,addcyc,16762
282,physics,1837
282,addcyc,30960
283,addcyc,32222
284,addcyc,31003
285,physics,1858
285,addcyc,32759
286,addcyc,32824
287,addcyc,31854
288,addcyc,33537
289,addcyc,32492
290,addcyc,33570
291,addcyc,32825
292,addcyc,33580
293,addcyc,32954
294,addcyc,32884
295,addcyc,33590
296,addcyc,34592
297,physics,2007
297,addcyc,33968
298,addcyc,34829
299,addcyc,33504
300,addcyc,34603
301,addcyc,33898
302,addcyc,34306
303,addcyc,33641
304,addcyc,35107
305,addcyc,35064
306,addcyc,33757
307,addcyc,35220
308,addcyc,34802
309,addcyc,35194
310,addcyc,35784
311,addcyc,35200
312,addcyc,34410
313,addcyc,35082
314,addcyc,36890
315,addcyc,36722
316,addcyc,35675
317,addcyc,36819
318,addcyc,36434
319,addcyc,35222
320,addcyc,35923
321,addcyc,37642
322,addcyc,34664
323,physics,2069
323,addcyc,37422
324,physics,2107
324,addcyc,35598
325,addcyc,38100
326,addcyc,38678
327,addcyc,35570
328,addcyc,38368
329,addcyc,38119
330,addcyc,37438
331,addcyc,38968
332,addcyc,35347
333,addcyc,37787
334,addcyc,38203
335,addcyc,37549
336,addcyc,38783
337,addcyc,37332
338,addcyc,38976
339,addcyc,38581
340,addcyc,37276
341,addcyc,38318
342,addcyc,38002
343,addcyc,39576
344,addcyc,38036
345,addcyc,38399
346,addcyc,39965
347,addcyc,37946
348,addcyc,38157
349,addcyc,39327
350,addcyc,40761
351,addcyc,40689
352,addcyc,41618
353,addcyc,58785
354,addcyc,44994
355,addcyc,43451
356,physics,2298
