[{-5.000000,-1.000000,10.000000};{10.000000,-10.000000,20.000000}]
[{-5.000000,-1.000000,10.000000};{-30.000000,-40.000000,0.000000}]
[{1.544983,-5.807994,7.281835};{1.253586,-6.072068,7.491782}]
[{10.589874,4.708960,3.591632};{9.831570,3.810936,4.202789}]
[{5.718897,-0.978812,4.142864};{4.494754,-2.303403,3.813083}]
[{0.580999,-6.806261,7.440583};{1.183683,-6.137969,7.483860}]
[{-1.729782,-9.501348,7.455147};{-0.751903,-9.580708,9.307240}]
[{10.691229,4.127416,3.893798};{10.504259,3.840076,4.104908}]
[{10.691229,4.127416,3.893798};{10.896049,4.449143,3.655912}]
[{-1.037643,-8.694715,7.586576};{-1.729782,-9.501348,7.455147}]
[{10.222457,4.357143,1.951102};{4.494754,-2.303403,3.813083}]
[{1.433236,-5.566387,7.705530};{1.222061,-5.602905,7.930064}]
[{8.955074,2.762056,4.924224};{8.748848,2.560417,5.031352}]
[{7.287553,0.765141,6.116608};{6.999533,0.532945,6.255944}]
[{9.862559,3.458606,4.403378};{9.101789,2.519334,5.066668}]
[{10.831402,4.307286,3.777153};{9.952870,3.096128,4.622693}]
[{-1.529220,-7.696396,8.776193};{-1.602943,-6.722076,9.072087}]
[{10.238134,3.471205,4.371375};{10.504259,3.840076,4.104908}]
[{10.037023,3.386157,3.873295};{8.640707,2.073230,5.439065}]
[{8.640707,2.073230,5.439065};{9.101789,2.519334,5.066668}]
[{-16.614662,-28.161907,5.464061};{-21.516729,-31.618317,2.685425}]
[{-21.516729,-31.618317,2.685425};{-17.605108,-27.418682,3.634478}]
[{10.413170,3.702232,4.183724};{10.535011,3.903473,4.001645}]
[{0.773628,-6.648005,8.025849};{0.935581,-6.447785,7.935462}]
[{8.841291,2.573014,5.058226};{8.925636,2.689892,4.987125}]
[{10.009962,3.368348,4.060314};{10.393481,3.783644,3.929841}]
[{10.393481,3.783644,3.929841};{10.653420,4.088023,3.807185}]
[{-1.830959,-5.292218,9.542016};{-1.871029,-5.586726,9.421412}]
[{-1.027635,-8.544935,7.854615};{-0.833306,-8.353748,7.700860}]
[{6.204505,-10.682283,17.107899};{10.000000,-10.000000,20.000000}]
[{-1.088435,-7.216198,8.750857};{-1.529220,-7.696396,8.776193}]
[{0.796841,-4.500207,8.668703};{1.093451,-4.830789,8.453636}]
[{10.487630,3.858776,3.938300};{10.393481,3.783644,3.929841}]
[{10.487630,3.858776,3.938300};{10.447493,3.817921,3.940585}]
[{10.374452,3.735352,3.954457};{10.447493,3.817921,3.940585}]
[{-11.661094,-24.859545,8.284206};{-6.983552,-21.267799,10.592746}]
[{10.144984,3.627249,3.796951};{10.672800,4.276313,3.486308}]
[{10.144984,3.627249,3.796951};{10.009962,3.368348,4.060314}]
[{9.389919,3.282750,4.565643};{9.831570,3.810936,4.202789}]
[{9.389919,3.282750,4.565643};{9.191401,3.037529,4.739016}]
[{9.297592,3.190547,4.616906};{9.831570,3.810936,4.202789}]
[{1.185810,-6.924831,9.140756};{1.509827,-6.616646,9.107574}]
[{10.727031,4.123631,3.879833};{10.691229,4.127416,3.893798}]
[{10.457500,3.770615,4.092937};{10.454532,3.751657,4.094472}]
[{10.456786,3.699207,4.219605};{10.484940,3.727563,4.182655}]
[{1.943988,-5.291153,6.068293};{1.811874,-5.430671,5.999856}]
[{-3.091109,-13.701565,9.721135};{-3.650213,-13.802815,9.198729}]
[{-3.091109,-13.701565,9.721135};{-2.259345,-13.090071,10.190199}]
[{6.590832,0.139346,6.480657};{6.999533,0.532945,6.255944}]
[{6.590832,0.139346,6.480657};{6.011040,-0.501786,6.824396}]
[{0.628537,-6.736025,7.445931};{0.368594,-7.027524,7.421464}]
[{-0.090965,-3.885948,9.068423};{0.684729,-3.508868,8.749372}]
[{11.072597,4.725933,3.458382};{10.896049,4.449143,3.655912}]
[{10.171297,3.362797,4.462900};{10.033740,3.202943,4.534635}]
[{10.033740,3.202943,4.534635};{10.206814,3.417089,4.405742}]
[{10.033740,3.202943,4.534635};{9.952870,3.096128,4.622693}]
[{10.171297,3.362797,4.462900};{10.206814,3.417089,4.405742}]
[{1.000807,-2.798748,8.602191};{0.743336,-2.929258,8.692963}]
[{1.000807,-2.798748,8.602191};{0.570043,-2.869845,8.745540}]
[{9.083883,2.899944,4.838353};{9.191401,3.037529,4.739016}]
[{8.918310,2.682112,4.996964};{8.925636,2.689892,4.987125}]
[{8.824642,2.551559,3.175506};{7.301321,0.834804,3.597200}]
[{7.301321,0.834804,3.597200};{5.718897,-0.978812,4.142864}]
[{8.824642,2.551559,3.175506};{9.406012,3.290186,2.735757}]
[{-1.139826,-8.801177,6.447569};{-2.315395,-10.159209,6.378696}]
[{10.860275,4.409853,3.655057};{10.816266,4.330501,3.684848}]
[{10.816266,4.330501,3.684848};{10.885320,4.430257,3.623738}]
[{10.816266,4.330501,3.684848};{10.722878,4.191165,3.759152}]
[{-15.570766,-24.908028,3.647560};{-17.587767,-27.187269,3.358186}]
